,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
31,31,0.8019773031960661,2021-05-13 08:11:02.972944,2021-05-13 08:26:44.180068,0 days 00:15:41.207124,0.10934338218711047,512,0.004935945240918643,1e-05,0.005,85.0,COMPLETE
32,32,0.8026129649750429,2021-05-13 08:26:44.181039,2021-05-13 08:42:26.569195,0 days 00:15:42.388156,0.11623633469697793,512,0.0043123225586826205,1e-05,0.005,95.0,COMPLETE
33,33,0.7422843337024385,2021-05-13 08:42:26.570309,2021-05-13 08:49:35.988851,0 days 00:07:09.418542,0.1053922149999056,512,0.0044655145220224126,1e-05,0.005,75.0,COMPLETE
34,34,0.7218772932160554,2021-05-13 08:49:35.990149,2021-05-13 08:56:44.734771,0 days 00:07:08.744622,0.1004889848271555,512,0.004990962709143475,1e-05,0.05,80.0,COMPLETE
35,35,0.8038288314982341,2021-05-13 08:56:44.735677,2021-05-13 09:12:25.977050,0 days 00:15:41.241373,0.11327530964524937,512,0.004182192676856531,1e-05,0.005,95.0,COMPLETE
36,36,0.5073414299954746,2021-05-13 09:12:25.978171,2021-05-13 09:32:21.736818,0 days 00:19:55.758647,0.11490830845843415,512,0.004191633323504305,0.1,0.05,60.0,COMPLETE
37,37,0.5041439933449098,2021-05-13 09:32:21.738184,2021-05-13 09:41:14.854183,0 days 00:08:53.115999,0.12143878527621206,512,0.004543544290268232,1.0,0.005,95.0,COMPLETE
38,38,0.7291250170733642,2021-05-13 09:41:14.855118,2021-05-13 10:11:06.081767,0 days 00:29:51.226649,0.1390730969575261,128,0.004711418541951315,0.01,0.01,70.0,COMPLETE
39,39,0.7815908591694183,2021-05-13 10:11:06.082845,2021-05-13 10:14:57.764761,0 days 00:03:51.681916,0.12960322638874638,1024,0.004540815324459737,1e-05,0.005,80.0,COMPLETE
40,40,0.7927784290712727,2021-05-13 10:14:57.765715,2021-05-13 10:40:46.127418,0 days 00:25:48.361703,0.1360460706826217,2048,0.0019158020962410855,0.001,0.0001,45.0,COMPLETE
41,41,0.8031786454408566,2021-05-13 10:40:46.128541,2021-05-13 10:56:31.288731,0 days 00:15:45.160190,0.10709007806706287,512,0.004994237633509187,1e-05,0.005,90.0,COMPLETE
42,42,0.80323447926357,2021-05-13 10:56:31.289795,2021-05-13 11:12:17.763697,0 days 00:15:46.473902,0.11283259410843202,512,0.00479107719119386,1e-05,0.005,95.0,COMPLETE
43,43,0.8034192476162856,2021-05-13 11:12:17.764907,2021-05-13 11:28:02.939357,0 days 00:15:45.174450,0.11339309318291584,512,0.004183762913616886,1e-05,0.005,95.0,COMPLETE
44,44,0.7996215570014142,2021-05-13 11:28:02.940511,2021-05-13 11:43:46.484830,0 days 00:15:43.544319,0.12102700342327358,512,0.004135682031728222,1e-05,0.005,85.0,COMPLETE
45,45,0.799182228658387,2021-05-13 11:43:46.485785,2021-05-13 11:59:30.964336,0 days 00:15:44.478551,0.10341059072581309,512,0.0036168057063897647,1e-05,0.005,100.0,COMPLETE
46,46,0.7496154148451746,2021-05-13 11:59:30.965273,2021-05-13 12:16:56.153205,0 days 00:17:25.187932,0.11174492654508819,512,0.0044198630982561675,0.01,0.005,95.0,COMPLETE
47,47,0.7886605584093811,2021-05-13 12:16:56.154132,2021-05-13 12:24:06.268378,0 days 00:07:10.114246,0.190542501623786,512,0.0036638347166077024,1e-05,0.01,80.0,COMPLETE
48,48,0.7749590323843452,2021-05-13 12:24:06.269476,2021-05-13 12:47:58.581387,0 days 00:23:52.311911,0.11952065306713162,128,0.003276984209182595,1e-05,0.001,70.0,COMPLETE
49,49,0.5093702639420615,2021-05-13 12:47:58.582361,2021-05-13 12:54:17.010390,0 days 00:06:18.428029,0.12481981388572783,512,0.004412106394635947,0.1,0.05,90.0,COMPLETE
50,50,0.5059493356464594,2021-05-13 12:54:17.011518,2021-05-13 13:00:07.896924,0 days 00:05:50.885406,0.10064978808198881,1024,0.004084982885515196,1.0,0.005,75.0,COMPLETE
51,51,0.7997115401157776,2021-05-13 13:00:07.897929,2021-05-13 13:15:53.645181,0 days 00:15:45.747252,0.11250920942220007,512,0.004753362972266788,1e-05,0.005,95.0,COMPLETE
52,52,0.8019121483571338,2021-05-13 13:15:53.646768,2021-05-13 13:31:35.240939,0 days 00:15:41.594171,0.1130089744182102,512,0.004730587208245094,1e-05,0.005,100.0,COMPLETE
53,53,0.8023423492042844,2021-05-13 13:31:35.242005,2021-05-13 13:47:18.484944,0 days 00:15:43.242939,0.10425495795695058,512,0.0048456507105635585,1e-05,0.005,85.0,COMPLETE
54,54,0.802214756500761,2021-05-13 13:47:18.486178,2021-05-13 14:03:03.423949,0 days 00:15:44.937771,0.11954315542473665,512,0.0038845541615048357,1e-05,0.005,95.0,COMPLETE
55,55,0.7940743053624482,2021-05-13 14:03:03.425142,2021-05-13 14:05:42.573196,0 days 00:02:39.148054,0.11129013728341647,2048,0.004508772276137867,1e-05,0.005,90.0,COMPLETE
56,56,0.8044494140696168,2021-05-13 14:05:42.574833,2021-05-13 14:21:25.587573,0 days 00:15:43.012740,0.1063064092268031,512,0.002805423096344449,1e-05,0.005,100.0,COMPLETE
57,57,0.8023655191000938,2021-05-13 14:21:25.588755,2021-05-13 14:37:10.537444,0 days 00:15:44.948689,0.10651604404965175,512,0.002825664845352821,1e-05,0.005,100.0,COMPLETE
58,58,0.5584981518320312,2021-05-13 14:37:10.538490,2021-05-13 14:46:04.648525,0 days 00:08:54.110035,0.12398344776800146,512,0.002608187145558204,0.01,0.0001,85.0,COMPLETE
59,59,0.7667130947172319,2021-05-13 14:46:04.649975,2021-05-13 14:54:58.264352,0 days 00:08:53.614377,0.10031391626368714,512,0.0030188360628915605,0.001,0.005,100.0,COMPLETE
60,60,0.793125630197072,2021-05-13 14:54:58.265983,2021-05-13 15:07:17.375794,0 days 00:12:19.109811,0.13155634957029821,512,0.0034695501478859444,1e-05,0.0005,90.0,COMPLETE
61,61,0.8015152112217889,2021-05-13 15:07:17.376726,2021-05-13 15:23:02.158241,0 days 00:15:44.781515,0.11793538497186756,512,0.0028486785267359243,1e-05,0.005,95.0,COMPLETE
62,62,0.8028009014223678,2021-05-13 15:23:02.159383,2021-05-13 15:37:53.592606,0 days 00:14:51.433223,0.11421320129776805,512,0.0022832023235878117,1e-05,0.005,100.0,COMPLETE
63,63,0.8051990196008271,2021-05-13 15:37:53.594029,2021-05-13 15:53:38.456400,0 days 00:15:44.862371,0.10394626213156077,512,0.0031392636119627094,1e-05,0.005,95.0,COMPLETE
64,64,0.8048064270612448,2021-05-13 15:53:38.457658,2021-05-13 16:09:24.052365,0 days 00:15:45.594707,0.10327903951282102,512,0.0031896864368102934,1e-05,0.005,85.0,COMPLETE
65,65,0.7976024093246723,2021-05-13 16:09:24.053891,2021-05-13 16:24:13.650355,0 days 00:14:49.596464,0.10431075237584109,512,0.0032255094448589696,0.0001,0.001,80.0,COMPLETE
66,66,0.7873043268400791,2021-05-13 16:24:13.651669,2021-05-13 16:28:04.491443,0 days 00:03:50.839774,0.1082811759848046,1024,0.0031791970638413505,1e-05,0.005,85.0,COMPLETE
67,67,0.7994686784942335,2021-05-13 16:28:04.492395,2021-05-13 16:42:56.803466,0 days 00:14:52.311071,0.10001969437281111,512,0.002550987104572521,1e-05,0.005,90.0,COMPLETE
68,68,0.8006827828288781,2021-05-13 16:42:56.804935,2021-05-13 16:58:40.080631,0 days 00:15:43.275696,0.10321445761400659,512,0.0026924666394303716,1e-05,0.005,80.0,COMPLETE
69,69,0.7857031677234603,2021-05-13 16:58:40.081946,2021-05-13 17:39:48.887512,0 days 00:41:08.805566,0.10678088779014601,128,0.002217171601804873,1e-05,0.01,10.0,COMPLETE
70,70,0.5115184794343395,2021-05-13 17:39:48.888449,2021-05-13 17:55:41.375667,0 days 00:15:52.487218,0.1094693346435866,256,0.0024165877829790358,0.1,0.005,90.0,COMPLETE
71,71,0.8017211886350584,2021-05-13 17:55:41.376754,2021-05-13 18:11:33.415504,0 days 00:15:52.038750,0.10195937054017666,512,0.0029401006300141933,1e-05,0.005,95.0,COMPLETE
72,72,0.8082342144354672,2021-05-13 18:11:33.416434,2021-05-13 18:27:29.277304,0 days 00:15:55.860870,0.11071993160347149,512,0.0033939220769832793,1e-05,0.005,85.0,COMPLETE
73,73,0.8069382394617332,2021-05-13 18:27:29.278838,2021-05-13 18:43:30.571737,0 days 00:16:01.292899,0.10582690933926525,512,0.0033665887563624442,1e-05,0.005,85.0,COMPLETE
74,74,0.7751688891756009,2021-05-13 18:43:30.572914,2021-05-13 18:50:44.431858,0 days 00:07:13.858944,0.10981917176141388,512,0.003375738340122547,1e-05,0.005,75.0,COMPLETE
75,75,0.8071550552957593,2021-05-13 18:50:44.433378,2021-05-13 19:06:47.716691,0 days 00:16:03.283313,0.10532118007021399,512,0.003082173701645498,1e-05,0.005,85.0,COMPLETE
76,76,0.7883116502034768,2021-05-13 19:06:47.718007,2021-05-13 19:11:11.309913,0 days 00:04:23.591906,0.10617905998837066,2048,0.0031098870352283246,1e-05,0.005,85.0,COMPLETE
77,77,0.7497015903506851,2021-05-13 19:11:11.310849,2021-05-13 19:19:18.592013,0 days 00:08:07.281164,0.1167456794780764,512,0.0035199058220812067,1e-05,0.05,70.0,COMPLETE
78,78,0.5084231484737484,2021-05-13 19:19:18.593126,2021-05-13 19:26:34.900854,0 days 00:07:16.307728,0.10513786705847128,512,0.003006627388142454,1.0,0.0005,85.0,COMPLETE
79,79,0.7568910863720402,2021-05-13 19:26:34.901768,2021-05-13 19:32:59.114840,0 days 00:06:24.213072,0.10900991107252744,512,0.0033259917379168877,0.0001,0.005,75.0,COMPLETE
80,80,0.7925976490318354,2021-05-13 19:32:59.115947,2021-05-13 19:40:04.610910,0 days 00:07:05.494963,0.10285421729780253,512,0.0038021897640146524,1e-05,0.005,40.0,COMPLETE
81,81,0.7996472516328145,2021-05-13 19:40:04.611851,2021-05-13 19:56:04.979889,0 days 00:16:00.368038,0.11041079159401163,512,0.003107931978234661,1e-05,0.005,90.0,COMPLETE
