,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.8326002902384771,2021-04-20 04:45:17.438557,2021-04-20 04:48:09.666122,0 days 00:02:52.227565,128,0.001,0.0001,170.0,COMPLETE
40,40,0.5094977002914012,2021-04-20 04:48:09.666955,2021-04-20 04:51:25.231071,0 days 00:03:15.564116,256,0.01,0.01,190.0,COMPLETE
41,41,0.833477114248443,2021-04-20 04:51:25.232258,2021-04-20 04:55:08.333268,0 days 00:03:43.101010,2048,0.001,0.0001,185.0,COMPLETE
42,42,0.8333003648148091,2021-04-20 04:55:08.334202,2021-04-20 04:59:46.412956,0 days 00:04:38.078754,2048,0.001,0.0001,175.0,COMPLETE
43,43,0.8331830556028491,2021-04-20 04:59:46.413867,2021-04-20 05:02:38.386649,0 days 00:02:51.972782,2048,1e-05,0.0001,165.0,COMPLETE
44,44,0.8334764926764828,2021-04-20 05:02:38.387785,2021-04-20 05:06:23.866056,0 days 00:03:45.478271,2048,0.001,0.0001,200.0,COMPLETE
45,45,0.8325116630481011,2021-04-20 05:06:23.867981,2021-04-20 05:11:54.823171,0 days 00:05:30.955190,256,0.001,0.0005,200.0,COMPLETE
46,46,0.8328501198739332,2021-04-20 05:11:54.824187,2021-04-20 05:16:01.910271,0 days 00:04:07.086084,2048,0.001,0.001,190.0,COMPLETE
47,47,0.8331730040793781,2021-04-20 05:16:01.911100,2021-04-20 05:19:27.444071,0 days 00:03:25.532971,2048,0.0001,0.0001,135.0,COMPLETE
48,48,0.8303098616448997,2021-04-20 05:19:27.445151,2021-04-20 05:23:12.038567,0 days 00:03:44.593416,2048,0.001,0.01,70.0,COMPLETE
49,49,0.8332658412983914,2021-04-20 05:23:12.039440,2021-04-20 05:25:45.772727,0 days 00:02:33.733287,1024,1e-05,0.0001,200.0,COMPLETE
