,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.830853098877381,2021-04-20 04:39:13.402728,2021-04-20 04:42:00.916672,0 days 00:02:47.513944,128,0.0001,0.0001,150.0,COMPLETE
40,40,0.8255079901294066,2021-04-20 04:42:00.917493,2021-04-20 04:44:16.293896,0 days 00:02:15.376403,128,0.0001,0.01,100.0,COMPLETE
41,41,0.8308539255040085,2021-04-20 04:44:16.295258,2021-04-20 04:47:03.970473,0 days 00:02:47.675215,128,0.0001,0.0001,150.0,COMPLETE
42,42,0.8308530924694227,2021-04-20 04:47:03.971310,2021-04-20 04:49:51.623722,0 days 00:02:47.652412,128,0.0001,0.0001,150.0,COMPLETE
43,43,0.8308539242224168,2021-04-20 04:49:51.624653,2021-04-20 04:52:39.913010,0 days 00:02:48.288357,128,0.0001,0.0001,150.0,COMPLETE
44,44,0.8304575881535654,2021-04-20 04:52:39.914303,2021-04-20 04:55:27.095365,0 days 00:02:47.181062,128,0.0001,0.0001,145.0,COMPLETE
45,45,0.8300328391973808,2021-04-20 04:55:27.096206,2021-04-20 05:01:04.893020,0 days 00:05:37.796814,128,0.0001,0.0005,170.0,COMPLETE
46,46,0.8313508601110293,2021-04-20 05:01:04.893862,2021-04-20 05:07:18.270332,0 days 00:06:13.376470,128,0.0001,0.001,110.0,COMPLETE
47,47,0.8296295658728173,2021-04-20 05:07:18.271124,2021-04-20 05:10:01.110435,0 days 00:02:42.839311,128,0.0001,0.001,80.0,COMPLETE
48,48,0.829629559464859,2021-04-20 05:10:01.111676,2021-04-20 05:12:44.979937,0 days 00:02:43.868261,128,0.0001,0.001,80.0,COMPLETE
49,49,0.8291739062071339,2021-04-20 05:12:44.980720,2021-04-20 05:14:59.095775,0 days 00:02:14.115055,256,0.0001,0.001,110.0,COMPLETE
