,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.8300122670878872,2021-04-20 05:43:54.990144,2021-04-20 05:46:14.886295,0 days 00:02:19.896151,256,0.001,0.0001,120.0,COMPLETE
40,40,0.8199020761949104,2021-04-20 05:46:14.887307,2021-04-20 05:49:18.732984,0 days 00:03:03.845677,512,0.01,0.01,105.0,COMPLETE
41,41,0.8303024271316196,2021-04-20 05:49:18.733897,2021-04-20 05:52:09.892889,0 days 00:02:51.158992,128,0.0001,0.0001,120.0,COMPLETE
42,42,0.8307943571231675,2021-04-20 05:52:09.893722,2021-04-20 05:54:50.665373,0 days 00:02:40.771651,128,0.0001,0.0001,150.0,COMPLETE
43,43,0.8308410339733957,2021-04-20 05:54:50.666494,2021-04-20 05:57:21.285852,0 days 00:02:30.619358,128,0.0001,0.0001,185.0,COMPLETE
44,44,0.830803388499669,2021-04-20 05:57:21.286662,2021-04-20 05:59:54.568451,0 days 00:02:33.281789,128,0.0001,0.0001,200.0,COMPLETE
45,45,0.8290403925500933,2021-04-20 05:59:54.569444,2021-04-20 06:01:40.742203,0 days 00:01:46.172759,1024,0.0001,0.001,190.0,COMPLETE
46,46,0.8302217214593585,2021-04-20 06:01:40.743088,2021-04-20 06:03:16.856562,0 days 00:01:36.113474,2048,0.0001,0.0005,180.0,COMPLETE
47,47,0.8307736901758903,2021-04-20 06:03:16.857466,2021-04-20 06:05:56.439304,0 days 00:02:39.581838,128,0.0001,0.0001,160.0,COMPLETE
48,48,0.8233512879370871,2021-04-20 06:05:56.440333,2021-04-20 06:07:44.025292,0 days 00:01:47.584959,256,0.0001,0.01,160.0,COMPLETE
49,49,0.8308033910628523,2021-04-20 06:07:44.026143,2021-04-20 06:10:17.473234,0 days 00:02:33.447091,128,0.0001,0.0001,200.0,COMPLETE
