,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
27,27,0.7008907887454433,2021-05-09 11:51:59.627436,2021-05-09 12:00:19.189893,0 days 00:08:19.562457,0.15783242527918584,2048,0.002081865491442521,0.0001,0.01,100.0,COMPLETE
28,28,0.8094158739953834,2021-05-09 12:00:19.191147,2021-05-09 12:13:56.537934,0 days 00:13:37.346787,0.1719643114832775,2048,0.0020893404323581856,0.0001,0.0005,75.0,COMPLETE
29,29,0.5027307091592158,2021-05-09 12:13:56.538884,2021-05-09 12:35:51.216062,0 days 00:21:54.677178,0.1854573738021247,128,0.002825161400177777,1.0,0.0005,75.0,COMPLETE
30,30,0.7461237003968403,2021-05-09 12:35:51.217120,2021-05-09 12:40:08.910864,0 days 00:04:17.693744,0.17218750431630944,2048,0.0013841444459967646,0.0001,0.0005,105.0,COMPLETE
31,31,0.8084038664144303,2021-05-09 12:40:08.911833,2021-05-09 12:54:49.406042,0 days 00:14:40.494209,0.16703713043744733,2048,0.0020699891055210844,0.0001,0.0005,45.0,COMPLETE
32,32,0.8072051219559557,2021-05-09 12:54:49.407039,2021-05-09 13:07:49.629535,0 days 00:13:00.222496,0.1804409180012551,2048,0.0014726946787135293,0.0001,0.0005,40.0,COMPLETE
33,33,0.79873388559955,2021-05-09 13:07:49.630513,2021-05-09 13:23:50.382639,0 days 00:16:00.752126,0.1917525665636999,2048,0.0013299337552525774,0.0001,0.0005,15.0,COMPLETE
34,34,0.8012008854855192,2021-05-09 13:23:50.384112,2021-05-09 13:37:29.985275,0 days 00:13:39.601163,0.1921543504036454,2048,0.0014283845286943877,0.0001,0.0005,20.0,COMPLETE
35,35,0.8063456712026741,2021-05-09 13:37:29.986305,2021-05-09 13:51:04.646249,0 days 00:13:34.659944,0.181334541281533,2048,0.0014787357050250773,0.0001,0.0005,35.0,COMPLETE
36,36,0.7572043586399568,2021-05-09 13:51:04.647333,2021-05-09 13:57:32.295285,0 days 00:06:27.647952,0.1805439486504006,1024,0.001892264037050668,0.0001,0.0005,35.0,COMPLETE
37,37,0.5068314705723074,2021-05-09 13:57:32.296215,2021-05-09 14:09:08.131697,0 days 00:11:35.835482,0.17818621059777143,256,0.0015300284767654233,0.01,0.0005,75.0,COMPLETE
38,38,0.4852254075220573,2021-05-09 14:09:08.132687,2021-05-09 14:11:46.669247,0 days 00:02:38.536560,0.18827696168911912,2048,0.003823869577424632,1.0,0.05,40.0,COMPLETE
39,39,0.7544806585055867,2021-05-09 14:11:46.670161,2021-05-09 14:33:38.512006,0 days 00:21:51.841845,0.16998070221555933,128,0.0019148772225092178,0.0001,0.0005,75.0,COMPLETE
40,40,0.5242461790574674,2021-05-09 14:33:38.513062,2021-05-09 14:38:19.311287,0 days 00:04:40.798225,0.1829869309228649,2048,0.002395945438103764,0.1,0.0005,180.0,COMPLETE
41,41,0.7987207787615367,2021-05-09 14:38:19.312307,2021-05-09 14:54:16.646808,0 days 00:15:57.334501,0.19097435166388535,2048,0.0014317726244871664,0.0001,0.0005,15.0,COMPLETE
42,42,0.8011801506138835,2021-05-09 14:54:16.647974,2021-05-09 15:07:49.743795,0 days 00:13:33.095821,0.19767770318219158,2048,0.0015070541684555447,0.0001,0.0005,20.0,COMPLETE
43,43,0.7782632410001558,2021-05-09 15:07:49.744764,2021-05-09 15:12:48.866694,0 days 00:04:59.121930,0.19769007029186972,2048,0.0012427059605070521,1e-05,0.0005,30.0,COMPLETE
44,44,0.7348210615052657,2021-05-09 15:12:48.867725,2021-05-09 15:24:30.365768,0 days 00:11:41.498043,0.1750537172800457,256,0.0019395040952592763,0.0001,0.0005,40.0,COMPLETE
45,45,0.7419242923096934,2021-05-09 15:24:30.367067,2021-05-09 15:33:26.659311,0 days 00:08:56.292244,0.18237718306228928,2048,0.0015427137201487816,0.0001,0.005,120.0,COMPLETE
46,46,0.503047230262017,2021-05-09 15:33:26.660877,2021-05-09 15:40:47.868366,0 days 00:07:21.207489,0.18721543939410665,512,0.0010114013237721691,0.01,0.0005,15.0,COMPLETE
47,47,0.7612162942159635,2021-05-09 15:40:47.869310,2021-05-09 15:47:23.188637,0 days 00:06:35.319327,0.1751590459235698,1024,0.001238610836456386,0.0001,0.0005,30.0,COMPLETE
48,48,0.6263144939733716,2021-05-09 15:47:23.189724,2021-05-09 15:51:23.949895,0 days 00:04:00.760171,0.16692357206469063,2048,0.0031079146311556397,1e-05,0.05,90.0,COMPLETE
49,49,0.8085267236367315,2021-05-09 15:51:23.950834,2021-05-09 16:06:02.152634,0 days 00:14:38.201800,0.1555359126053433,2048,0.002619346555627118,0.0001,0.0005,60.0,COMPLETE
50,50,0.8084743680538116,2021-05-09 16:06:02.153811,2021-05-09 16:20:40.975838,0 days 00:14:38.822027,0.1475067730428555,2048,0.002563577316403119,0.0001,0.0005,60.0,COMPLETE
51,51,0.8086594888442367,2021-05-09 16:20:40.976803,2021-05-09 16:35:21.365066,0 days 00:14:40.388263,0.14706711783641338,2048,0.002464634937196932,0.0001,0.0005,60.0,COMPLETE
52,52,0.8081591849327143,2021-05-09 16:35:21.366516,2021-05-09 16:53:13.731043,0 days 00:17:52.364527,0.14582508490470222,2048,0.0026634473613750508,0.0001,0.0005,80.0,COMPLETE
53,53,0.8080520746272675,2021-05-09 16:53:13.731994,2021-05-09 17:09:10.558987,0 days 00:15:56.826993,0.14622446423063068,2048,0.00267543775206105,0.0001,0.0005,80.0,COMPLETE
54,54,0.7274286779881586,2021-05-09 17:09:10.560100,2021-05-09 17:16:28.801198,0 days 00:07:18.241098,0.13924734825027835,2048,0.002569926764129384,0.0001,0.005,95.0,COMPLETE
55,55,0.5067133680551035,2021-05-09 17:16:28.802147,2021-05-09 17:19:07.122861,0 days 00:02:38.320714,0.15553861291847687,2048,0.003279784692127197,1.0,0.0005,60.0,COMPLETE
56,56,0.5047890684147057,2021-05-09 17:19:07.124031,2021-05-09 17:23:28.888878,0 days 00:04:21.764847,0.14658713851330482,2048,0.002328119841029039,0.1,0.0005,60.0,COMPLETE
57,57,0.7432182603108715,2021-05-09 17:23:28.889852,2021-05-09 17:35:11.050023,0 days 00:11:42.160171,0.13702362521512018,256,0.0027712437280090645,0.0001,0.0005,70.0,COMPLETE
58,58,0.7582429823167212,2021-05-09 17:35:11.051535,2021-05-09 17:37:49.255229,0 days 00:02:38.203694,0.1519507797717219,2048,0.0024706388153900964,0.0001,0.001,85.0,COMPLETE
59,59,0.806751831953271,2021-05-09 17:37:49.256488,2021-05-09 17:55:50.323115,0 days 00:18:01.066627,0.14159147039235026,2048,0.0031192202664682466,0.0001,0.0005,110.0,COMPLETE
60,60,0.5124290400634374,2021-05-09 17:55:50.324252,2021-05-09 17:59:26.604063,0 days 00:03:36.279811,0.1328708754544162,2048,0.002958671402297849,0.01,0.01,55.0,COMPLETE
61,61,0.8083009481953375,2021-05-09 17:59:26.605128,2021-05-09 18:18:53.131400,0 days 00:19:26.526272,0.14678209236727163,2048,0.0026294814567540494,0.0001,0.0005,80.0,COMPLETE
62,62,0.8080937981256896,2021-05-09 18:18:53.132413,2021-05-09 18:37:38.520475,0 days 00:18:45.388062,0.1496640524760501,2048,0.002617561301280802,0.0001,0.0005,70.0,COMPLETE
63,63,0.8086795880464038,2021-05-09 18:37:38.521949,2021-05-09 18:53:22.613473,0 days 00:15:44.091524,0.15575836671350993,2048,0.0022528531754972443,0.0001,0.0005,90.0,COMPLETE
64,64,0.7557287250194971,2021-05-09 18:53:22.614480,2021-05-09 19:00:00.861838,0 days 00:06:38.247358,0.1566808401038641,512,0.0023685896979209285,0.0001,0.0005,95.0,COMPLETE
65,65,0.7702977181537132,2021-05-09 19:00:00.862810,2021-05-09 19:07:42.471988,0 days 00:07:41.609178,0.1539671133554168,2048,0.00204798248464541,0.0001,0.0005,55.0,COMPLETE
66,66,0.5194066428443723,2021-05-09 19:07:42.473159,2021-05-09 19:29:45.749264,0 days 00:22:03.276105,0.14879185909375262,128,0.002194599326570504,0.0001,0.05,65.0,COMPLETE
67,67,0.7590551884746646,2021-05-09 19:29:45.750743,2021-05-09 19:32:38.122379,0 days 00:02:52.371636,0.15794435743233212,2048,0.0028493230714667856,1e-05,0.0005,120.0,COMPLETE
68,68,0.808700511312015,2021-05-09 19:32:38.123348,2021-05-09 19:48:36.586923,0 days 00:15:58.463575,0.13045744879274937,2048,0.0022787687288839246,0.0001,0.0005,90.0,COMPLETE
69,69,0.754016476255295,2021-05-09 19:48:36.588002,2021-05-09 19:51:29.403030,0 days 00:02:52.815028,0.12857480728435658,2048,0.002275049462761663,0.0001,0.001,100.0,COMPLETE
70,70,0.8096617870866947,2021-05-09 19:51:29.403986,2021-05-09 20:06:39.367534,0 days 00:15:09.963548,0.11357917791539794,1024,0.0020408697108262683,0.001,0.005,45.0,COMPLETE
71,71,0.8091092813832529,2021-05-09 20:06:39.368646,2021-05-09 20:20:01.102978,0 days 00:13:21.734332,0.11383820832030034,1024,0.002488075095945833,0.001,0.005,45.0,COMPLETE
72,72,0.8114240063917181,2021-05-09 20:20:01.103962,2021-05-09 20:28:35.350065,0 days 00:08:34.246103,0.11254783983307902,1024,0.0024733811786130377,0.001,0.005,50.0,COMPLETE
73,73,0.8099481971931994,2021-05-09 20:28:35.351221,2021-05-09 20:37:05.237632,0 days 00:08:29.886411,0.11262045008560043,1024,0.0024287467119845705,0.001,0.005,50.0,COMPLETE
74,74,0.8108949589422115,2021-05-09 20:37:05.238924,2021-05-09 20:46:09.407746,0 days 00:09:04.168822,0.11273620455608904,1024,0.0024375669375162443,0.001,0.005,50.0,COMPLETE
75,75,0.8070237177813749,2021-05-09 20:46:09.408894,2021-05-09 20:54:45.818490,0 days 00:08:36.409596,0.1137385767459606,1024,0.001817635153853062,0.001,0.005,50.0,COMPLETE
76,76,0.8091277529639985,2021-05-09 20:54:45.819790,2021-05-09 21:08:06.769819,0 days 00:13:20.950029,0.11187076523087343,1024,0.0022291770033945548,0.001,0.005,45.0,COMPLETE
77,77,0.8081164451320976,2021-05-09 21:08:06.772166,2021-05-09 21:25:48.240216,0 days 00:17:41.468050,0.11033866054669075,1024,0.002011576550502595,0.001,0.005,40.0,COMPLETE
78,78,0.805978964251651,2021-05-09 21:25:48.241259,2021-05-09 21:34:11.229694,0 days 00:08:22.988435,0.11738120404526664,1024,0.002161652129710228,0.001,0.005,50.0,COMPLETE
79,79,0.806375943679521,2021-05-09 21:34:11.230884,2021-05-09 21:44:54.480739,0 days 00:10:43.249855,0.10457382068398943,1024,0.001646020592044354,0.001,0.005,45.0,COMPLETE
80,80,0.8095629904664139,2021-05-09 21:44:54.482287,2021-05-09 21:57:44.920282,0 days 00:12:50.437995,0.10797809791700913,1024,0.0024488824496080343,0.001,0.005,30.0,COMPLETE
81,81,0.8065212377271962,2021-05-09 21:57:44.921235,2021-05-09 22:06:07.638423,0 days 00:08:22.717188,0.1103898269486864,1024,0.002471671779399864,0.001,0.005,25.0,COMPLETE
82,82,0.8102873306994335,2021-05-09 22:06:07.639506,2021-05-09 22:23:32.005416,0 days 00:17:24.365910,0.12438443619078304,1024,0.00239526371836771,0.001,0.005,30.0,COMPLETE
83,83,0.8089626198772654,2021-05-09 22:23:32.006896,2021-05-09 22:39:59.221622,0 days 00:16:27.214726,0.11482426677508804,1024,0.002385739671028703,0.001,0.005,35.0,COMPLETE
84,84,0.8079124067670255,2021-05-09 22:39:59.223186,2021-05-09 22:52:37.610447,0 days 00:12:38.387261,0.12344769708514874,1024,0.002766786330987627,0.001,0.005,30.0,COMPLETE
85,85,0.8052494527962413,2021-05-09 22:52:37.611807,2021-05-09 23:05:13.130940,0 days 00:12:35.519133,0.10150016037045484,1024,0.002139146464890296,0.001,0.005,10.0,COMPLETE
86,86,0.808678183421933,2021-05-09 23:05:13.131928,2021-05-09 23:17:52.960594,0 days 00:12:39.828666,0.10790070910365249,1024,0.001959038794772812,0.001,0.005,25.0,COMPLETE
87,87,0.8080118531542831,2021-05-09 23:17:52.961668,2021-05-09 23:27:48.748641,0 days 00:09:55.786973,0.10740618268072681,1024,0.0018470685862870134,0.001,0.005,45.0,COMPLETE
88,88,0.8091826307193258,2021-05-09 23:27:48.749654,2021-05-09 23:42:38.112141,0 days 00:14:49.362487,0.11364396436770409,1024,0.002447539677887671,0.001,0.005,35.0,COMPLETE
89,89,0.8088208835280672,2021-05-09 23:42:38.113253,2021-05-09 23:50:58.692369,0 days 00:08:20.579116,0.12535713681914795,1024,0.002133940984585773,0.001,0.005,35.0,COMPLETE
