,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
35,35,0.7317182909050278,2021-04-21 09:57:40.460708,2021-04-21 10:14:24.556603,0 days 00:16:44.095895,8192,0.07305565358197863,0.1,0.001,170.0,COMPLETE
36,36,0.6942430599709236,2021-04-21 10:14:24.557491,2021-04-21 10:19:24.628884,0 days 00:05:00.071393,4096,0.12726948088839987,1.0,0.005,190.0,COMPLETE
37,37,0.6092003110453742,2021-04-21 10:19:24.630269,2021-04-21 10:21:25.347768,0 days 00:02:00.717499,2048,0.045781307371931416,0.0001,0.05,165.0,COMPLETE
38,38,0.7118830171633012,2021-04-21 10:21:25.348788,2021-04-21 10:26:51.558304,0 days 00:05:26.209516,8192,0.054416302436775664,0.0001,0.01,145.0,COMPLETE
39,39,0.7115630216654815,2021-04-21 10:26:51.559328,2021-04-21 10:40:14.001549,0 days 00:13:22.442221,8192,0.9512976571428435,1e-05,0.001,120.0,COMPLETE
40,40,0.599545977183198,2021-04-21 10:40:14.002765,2021-04-21 10:42:16.607677,0 days 00:02:02.604912,8192,0.03552464200468608,0.01,0.1,175.0,COMPLETE
41,41,0.7323825872866968,2021-04-21 10:42:16.609079,2021-04-21 10:58:27.648398,0 days 00:16:11.039319,8192,0.04497603489411318,0.0001,0.001,155.0,COMPLETE
42,42,0.7314213999418424,2021-04-21 10:58:27.649271,2021-04-21 11:14:22.868870,0 days 00:15:55.219599,8192,0.042679047714324174,0.0001,0.001,160.0,COMPLETE
43,43,0.7316197928956063,2021-04-21 11:14:22.870356,2021-04-21 11:31:04.351908,0 days 00:16:41.481552,8192,0.06413062929931165,0.0001,0.001,150.0,COMPLETE
44,44,0.7301129499547885,2021-04-21 11:31:04.353359,2021-04-21 11:49:21.907163,0 days 00:18:17.553804,4096,0.0570470503083922,0.0001,0.001,165.0,COMPLETE
45,45,0.731906549031862,2021-04-21 11:49:21.908141,2021-04-21 12:09:08.705276,0 days 00:19:46.797135,8192,0.1600902101573123,1e-05,0.001,100.0,COMPLETE
46,46,0.6512741248610268,2021-04-21 12:09:08.706308,2021-04-21 12:11:08.244575,0 days 00:01:59.538267,8192,0.03464155696566431,0.01,0.05,140.0,COMPLETE
47,47,0.7211952993350098,2021-04-21 12:11:08.245985,2021-04-21 12:34:29.074086,0 days 00:23:20.828101,2048,0.11757561865316785,0.1,0.001,200.0,COMPLETE
