,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
35,35,0.8093774031766208,2021-05-09 07:17:46.592721,2021-05-09 07:25:17.898004,0 days 00:07:31.305283,0.15427120808355466,2048,0.0001,0.001,20.0,COMPLETE
36,36,0.5012538810953192,2021-05-09 07:25:17.898975,2021-05-09 07:35:26.263020,0 days 00:10:08.364045,0.2684763264049536,512,0.1,0.01,45.0,COMPLETE
37,37,0.5030235989932061,2021-05-09 07:35:26.264014,2021-05-09 07:40:34.800504,0 days 00:05:08.536490,0.32425222033823986,1024,1.0,0.001,60.0,COMPLETE
38,38,0.5066218547202856,2021-05-09 07:40:34.801502,2021-05-09 07:53:56.941808,0 days 00:13:22.140306,0.002521442681512026,256,0.01,0.0005,80.0,COMPLETE
39,39,0.7822387101667724,2021-05-09 07:53:56.942811,2021-05-09 08:13:10.208800,0 days 00:19:13.265989,0.14224621626081113,512,1e-05,0.0001,35.0,COMPLETE
40,40,0.5715676596432094,2021-05-09 08:13:10.210172,2021-05-09 08:17:42.560718,0 days 00:04:32.350546,0.06289481664483107,2048,0.0001,0.05,10.0,COMPLETE
41,41,0.8113116325892809,2021-05-09 08:17:42.561573,2021-05-09 08:25:11.878294,0 days 00:07:29.316721,0.10849140843642308,2048,0.0001,0.001,30.0,COMPLETE
42,42,0.8110529920110907,2021-05-09 08:25:11.879316,2021-05-09 08:32:38.202084,0 days 00:07:26.322768,0.18808763780614834,2048,0.0001,0.001,45.0,COMPLETE
43,43,0.8044887884105071,2021-05-09 08:32:38.203026,2021-05-09 08:41:17.704275,0 days 00:08:39.501249,0.10859866907803789,2048,0.0001,0.001,15.0,COMPLETE
44,44,0.8094868959609829,2021-05-09 08:41:17.705530,2021-05-09 08:48:45.739180,0 days 00:07:28.033650,0.2531245600593526,2048,0.0001,0.001,25.0,COMPLETE
45,45,0.745438874198203,2021-05-09 08:48:45.740041,2021-05-09 08:51:25.708226,0 days 00:02:39.968185,0.06103240688914752,2048,1e-05,0.001,40.0,COMPLETE
46,46,0.8203991697192984,2021-05-09 08:51:25.709243,2021-05-09 09:16:25.371904,0 days 00:24:59.662661,0.13415767893490227,128,0.0001,0.01,65.0,COMPLETE
47,47,0.8281602351201927,2021-05-09 09:16:25.372812,2021-05-09 09:41:34.653534,0 days 00:25:09.280722,0.17475321488443957,128,0.0001,0.01,70.0,COMPLETE
48,48,0.4986594064122604,2021-05-09 09:41:34.654594,2021-05-09 10:03:34.190103,0 days 00:21:59.535509,0.18754167665813232,128,0.1,0.01,70.0,COMPLETE
49,49,0.5029407658787721,2021-05-09 10:03:34.191095,2021-05-09 10:49:57.007575,0 days 00:46:22.816480,0.2923048304969205,128,0.01,0.01,90.0,COMPLETE
50,50,0.498124339326678,2021-05-09 10:49:57.009004,2021-05-09 11:14:58.551598,0 days 00:25:01.542594,0.3615333644735146,128,1.0,0.01,105.0,COMPLETE
51,51,0.8225488090599221,2021-05-09 11:14:58.552808,2021-05-09 11:40:01.010877,0 days 00:25:02.458069,0.14621562809735128,128,0.0001,0.01,65.0,COMPLETE
52,52,0.8249937912009935,2021-05-09 11:40:01.012167,2021-05-09 12:05:04.257575,0 days 00:25:03.245408,0.16207306774585337,128,0.0001,0.01,70.0,COMPLETE
53,53,0.8258948321671635,2021-05-09 12:05:04.258820,2021-05-09 12:29:59.084423,0 days 00:24:54.825603,0.03724753735596686,128,0.0001,0.01,65.0,COMPLETE
54,54,0.8269085160700215,2021-05-09 12:29:59.085657,2021-05-09 13:01:19.360763,0 days 00:31:20.275106,0.14663164689788544,128,0.0001,0.01,70.0,COMPLETE
55,55,0.8231763404213418,2021-05-09 13:01:19.361661,2021-05-09 13:32:30.369514,0 days 00:31:11.007853,0.1436783965733635,128,0.0001,0.01,70.0,COMPLETE
56,56,0.7903076318291842,2021-05-09 13:32:30.370915,2021-05-09 14:09:45.092406,0 days 00:37:14.721491,0.03129768280982185,128,0.001,0.01,85.0,COMPLETE
57,57,0.82325432783767,2021-05-09 14:09:45.093396,2021-05-09 14:49:57.513307,0 days 00:40:12.419911,0.0035919576457241753,128,0.0001,0.01,70.0,COMPLETE
58,58,0.8286048910397938,2021-05-09 14:49:57.514747,2021-05-09 15:17:55.826646,0 days 00:27:58.311899,0.028771435854591347,128,0.0001,0.01,75.0,COMPLETE
59,59,0.8114286098689981,2021-05-09 15:17:55.827650,2021-05-09 16:29:11.159910,0 days 01:11:15.332260,0.011145636266023783,128,0.0001,0.01,120.0,COMPLETE
60,60,0.6490852495914132,2021-05-09 16:29:11.160854,2021-05-09 17:24:44.693202,0 days 00:55:33.532348,0.032998409226853403,128,1e-05,0.01,95.0,COMPLETE
61,61,0.8065228666302093,2021-05-09 17:24:44.694155,2021-05-09 18:08:02.650663,0 days 00:43:17.956508,0.06794891442764617,128,0.0001,0.01,75.0,COMPLETE
62,62,0.8288021113371793,2021-05-09 18:08:02.652175,2021-05-09 18:36:14.786507,0 days 00:28:12.134332,0.04043192106071178,128,0.0001,0.01,75.0,COMPLETE
63,63,0.8259602689562633,2021-05-09 18:36:14.787690,2021-05-09 19:07:27.522848,0 days 00:31:12.735158,0.0030446268144926026,128,0.0001,0.01,60.0,COMPLETE
64,64,0.8206646732208837,2021-05-09 19:07:27.523760,2021-05-09 19:41:57.695213,0 days 00:34:30.171453,0.043792922744428475,128,0.0001,0.01,55.0,COMPLETE
65,65,0.8223911655949109,2021-05-09 19:41:57.696414,2021-05-09 20:22:32.009420,0 days 00:40:34.313006,0.07823477667655246,128,0.0001,0.01,85.0,COMPLETE
66,66,0.8285595034707861,2021-05-09 20:22:32.010397,2021-05-09 20:53:53.685327,0 days 00:31:21.674930,0.0002679052912877857,128,0.0001,0.01,60.0,COMPLETE
