,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
30,30,0.5055298232738401,2021-04-22 11:00:09.003614,2021-04-22 11:03:07.191924,0 days 00:02:58.188310,256,0.02701642641846807,1.0,0.0005,75.0,COMPLETE
31,31,0.8214170046975768,2021-04-22 11:03:07.192827,2021-04-22 11:14:52.443567,0 days 00:11:45.250740,1024,0.050702937354792345,0.0001,0.0005,140.0,COMPLETE
32,32,0.8220161821248803,2021-04-22 11:14:52.444848,2021-04-22 11:25:43.374098,0 days 00:10:50.929250,1024,0.08130496072161641,0.0001,0.0005,140.0,COMPLETE
33,33,0.8227865994232263,2021-04-22 11:25:43.375382,2021-04-22 11:38:38.537802,0 days 00:12:55.162420,1024,0.1529368804095041,0.0001,0.0005,160.0,COMPLETE
34,34,0.8227124555003177,2021-04-22 11:38:38.539239,2021-04-22 11:52:34.769472,0 days 00:13:56.230233,1024,0.9315616702995329,0.0001,0.0005,160.0,COMPLETE
35,35,0.7912074591280424,2021-04-22 11:52:34.770804,2021-04-22 11:54:06.298315,0 days 00:01:31.527511,1024,0.7227415372633813,0.0001,0.05,165.0,COMPLETE
36,36,0.5127584385993429,2021-04-22 11:54:06.299184,2021-04-22 11:55:36.020829,0 days 00:01:29.721645,1024,0.5748526662386779,0.1,0.0005,120.0,COMPLETE
37,37,0.6319618071635971,2021-04-22 11:55:36.021708,2021-04-22 11:57:06.523391,0 days 00:01:30.501683,1024,0.16688929492319457,0.01,0.0005,160.0,COMPLETE
38,38,0.8164574499877305,2021-04-22 11:57:06.524734,2021-04-22 12:01:44.389573,0 days 00:04:37.864839,1024,0.45606660426777956,1e-05,0.01,100.0,COMPLETE
39,39,0.7685132568252497,2021-04-22 12:01:44.390692,2021-04-22 12:16:37.447412,0 days 00:14:53.056720,512,0.23968027855118715,0.0001,0.0001,160.0,COMPLETE
40,40,0.6855164972323874,2021-04-22 12:16:37.449000,2021-04-22 12:38:37.541891,0 days 00:22:00.092891,128,0.17241174467740852,1e-05,0.0001,190.0,COMPLETE
41,41,0.8218297707716431,2021-04-22 12:38:37.542941,2021-04-22 12:48:52.515787,0 days 00:10:14.972846,1024,0.034148263244361786,0.0001,0.0005,130.0,COMPLETE
42,42,0.821090954960706,2021-04-22 12:48:52.516735,2021-04-22 12:57:08.598358,0 days 00:08:16.081623,1024,0.009921438180842089,0.0001,0.0005,150.0,COMPLETE
43,43,0.8025328578060918,2021-04-22 12:57:08.599673,2021-04-22 13:30:10.919463,0 days 00:33:02.319790,256,0.34636315778252424,0.0001,0.0005,110.0,COMPLETE
