,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
35,35,0.7970171871490681,2021-05-13 08:44:39.497006,2021-05-13 09:06:38.576924,0 days 00:21:59.079918,0.6914997320558961,256,1e-05,0.005,85.0,COMPLETE
36,36,0.506761284204477,2021-05-13 09:06:38.578216,2021-05-13 09:14:41.657858,0 days 00:08:03.079642,0.5582341056571573,512,0.1,0.005,95.0,COMPLETE
37,37,0.7965400146856052,2021-05-13 09:14:41.658741,2021-05-13 09:27:14.891137,0 days 00:12:33.232396,0.626191897516751,1024,1e-05,0.005,85.0,COMPLETE
38,38,0.5081009268511971,2021-05-13 09:27:14.892556,2021-05-13 09:43:10.139964,0 days 00:15:55.247408,0.49593111882049,256,0.01,0.05,75.0,COMPLETE
39,39,0.7938822319372111,2021-05-13 09:43:10.141281,2021-05-13 10:34:34.578484,0 days 00:51:24.437203,0.7084106470893425,512,1e-05,0.0001,45.0,COMPLETE
40,40,0.7930654863815711,2021-05-13 10:34:34.579404,2021-05-13 10:48:45.486801,0 days 00:14:10.907397,0.7392112639709992,2048,1e-05,0.0005,15.0,COMPLETE
41,41,0.7987438653538875,2021-05-13 10:48:45.487991,2021-05-13 11:07:44.433075,0 days 00:18:58.945084,0.5925888332515636,256,1e-05,0.005,100.0,COMPLETE
42,42,0.7974294469944245,2021-05-13 11:07:44.434485,2021-05-13 11:26:45.195006,0 days 00:19:00.760521,0.6310528284955013,256,1e-05,0.005,95.0,COMPLETE
43,43,0.796563672867841,2021-05-13 11:26:45.196246,2021-05-13 11:48:55.487964,0 days 00:22:10.291718,0.5861471661824876,256,1e-05,0.005,90.0,COMPLETE
44,44,0.7994551256623189,2021-05-13 11:48:55.489357,2021-05-13 12:11:00.853550,0 days 00:22:05.364193,0.5431126440903625,256,1e-05,0.01,100.0,COMPLETE
45,45,0.5073506049102432,2021-05-13 12:11:00.854760,2021-05-13 12:28:29.632552,0 days 00:17:28.777792,0.48963187725643287,256,0.1,0.005,95.0,COMPLETE
46,46,0.7964466212558069,2021-05-13 12:28:29.633777,2021-05-13 12:52:30.069542,0 days 00:24:00.435765,0.43719129392859996,128,1e-05,0.005,100.0,COMPLETE
47,47,0.7872141335446818,2021-05-13 12:52:30.070516,2021-05-13 13:01:30.490517,0 days 00:09:00.420001,0.7604970498991208,1024,0.0001,0.005,85.0,COMPLETE
48,48,0.7891369978024086,2021-05-13 13:01:30.491375,2021-05-13 13:19:39.029433,0 days 00:18:08.538058,0.38661339117776555,512,0.001,0.001,30.0,COMPLETE
49,49,0.5038809287122733,2021-05-13 13:19:39.030489,2021-05-13 13:26:52.410051,0 days 00:07:13.379562,0.5274151329078233,512,0.01,0.005,90.0,COMPLETE
50,50,0.793569622252188,2021-05-13 13:26:52.411022,2021-05-13 13:48:43.042827,0 days 00:21:50.631805,0.6245559383810143,256,1e-05,0.01,5.0,COMPLETE
51,51,0.7991168367249957,2021-05-13 13:48:43.043865,2021-05-13 14:04:28.154305,0 days 00:15:45.110440,0.5637521090744092,512,1e-05,0.005,100.0,COMPLETE
52,52,0.7970047621178235,2021-05-13 14:04:28.155709,2021-05-13 14:20:19.576951,0 days 00:15:51.421242,0.517634143410615,512,1e-05,0.005,95.0,COMPLETE
53,53,0.7992671084747187,2021-05-13 14:20:19.577812,2021-05-13 14:36:11.102258,0 days 00:15:51.524446,0.6449442230559177,512,1e-05,0.005,100.0,COMPLETE
54,54,0.7988652026084676,2021-05-13 14:36:11.103322,2021-05-13 14:51:55.007200,0 days 00:15:43.903878,0.6896659457966074,512,1e-05,0.005,80.0,COMPLETE
55,55,0.793462987417251,2021-05-13 14:51:55.008136,2021-05-13 14:57:55.146705,0 days 00:06:00.138569,0.5944909235119287,2048,1e-05,0.005,90.0,COMPLETE
56,56,0.5183436407308534,2021-05-13 14:57:55.148141,2021-05-13 15:05:12.951857,0 days 00:07:17.803716,0.4603286162138319,512,1.0,0.0001,95.0,COMPLETE
57,57,0.8009228390462555,2021-05-13 15:05:12.953258,2021-05-13 15:20:12.467030,0 days 00:14:59.513772,0.5386934129090983,512,1e-05,0.005,100.0,COMPLETE
58,58,0.7977745680969428,2021-05-13 15:20:12.468046,2021-05-13 15:36:04.465126,0 days 00:15:51.997080,0.5589084391604552,512,1e-05,0.005,90.0,COMPLETE
59,59,0.7919518037254455,2021-05-13 15:36:04.466858,2021-05-13 15:53:44.736420,0 days 00:17:40.269562,0.3997417262702595,512,1e-05,0.0005,100.0,COMPLETE
60,60,0.6798645472434983,2021-05-13 15:53:44.737652,2021-05-13 16:02:41.416616,0 days 00:08:56.678964,0.49254991405741483,1024,0.001,0.05,85.0,COMPLETE
61,61,0.7973548122219062,2021-05-13 16:02:41.417506,2021-05-13 16:17:41.902784,0 days 00:15:00.485278,0.5228860926674894,512,1e-05,0.005,95.0,COMPLETE
62,62,0.7986109758319904,2021-05-13 16:17:41.904182,2021-05-13 16:33:27.088344,0 days 00:15:45.184162,0.5884009882391948,512,1e-05,0.005,100.0,COMPLETE
63,63,0.7990195767331277,2021-05-13 16:33:27.089312,2021-05-13 16:48:27.879140,0 days 00:15:00.789828,0.536428213010027,512,1e-05,0.005,95.0,COMPLETE
64,64,0.7892505378532658,2021-05-13 16:48:27.880976,2021-05-13 17:03:26.296934,0 days 00:14:58.415958,0.605404709106016,512,0.0001,0.005,100.0,COMPLETE
65,65,0.7986264664305107,2021-05-13 17:03:26.298203,2021-05-13 18:06:30.804967,0 days 01:03:04.506764,0.6590431501719545,128,1e-05,0.001,90.0,COMPLETE
66,66,0.7983286386238142,2021-05-13 18:06:30.806468,2021-05-13 18:21:32.921449,0 days 00:15:02.114981,0.4750535439497872,512,1e-05,0.005,95.0,COMPLETE
67,67,0.7984802983373163,2021-05-13 18:21:32.922368,2021-05-13 18:38:15.937078,0 days 00:16:43.014710,0.5620636620480147,512,1e-05,0.005,80.0,COMPLETE
68,68,0.5072968741794609,2021-05-13 18:38:15.938535,2021-05-13 19:15:25.922890,0 days 00:37:09.984355,0.327402900272741,256,1.0,0.005,100.0,COMPLETE
69,69,0.7973092285693727,2021-05-13 19:15:25.924268,2021-05-13 19:31:36.539902,0 days 00:16:10.615634,0.614306053755376,512,1e-05,0.005,85.0,COMPLETE
70,70,0.5053648824258574,2021-05-13 19:31:36.541159,2021-05-13 19:34:35.098191,0 days 00:02:58.557032,0.6891630918284879,2048,0.01,0.01,60.0,COMPLETE
71,71,0.7941800161697908,2021-05-13 19:34:35.099066,2021-05-13 19:47:25.313871,0 days 00:12:50.214805,0.5446945510468804,256,1e-05,0.01,100.0,COMPLETE
72,72,0.7991583346632837,2021-05-13 19:47:25.314946,2021-05-13 20:17:25.635924,0 days 00:30:00.320978,0.5035236232846215,256,1e-05,0.01,95.0,COMPLETE
73,73,0.8011828534907164,2021-05-13 20:17:25.636904,2021-05-13 20:46:45.198313,0 days 00:29:19.561409,0.5720134699524531,256,1e-05,0.01,90.0,COMPLETE
74,74,0.8017449301207528,2021-05-13 20:46:45.199416,2021-05-13 21:16:31.921900,0 days 00:29:46.722484,0.5706452673475998,256,1e-05,0.01,90.0,COMPLETE
75,75,0.801300525393119,2021-05-13 21:16:31.922882,2021-05-13 21:43:58.161509,0 days 00:27:26.238627,0.6432834384781436,256,1e-05,0.01,75.0,COMPLETE
76,76,0.5078796613308914,2021-05-13 21:43:58.162645,2021-05-13 22:03:09.349389,0 days 00:19:11.186744,0.7271510999666351,256,0.1,0.01,75.0,COMPLETE
77,77,0.8023385480033899,2021-05-13 22:03:09.350777,2021-05-13 22:32:40.822558,0 days 00:29:31.471781,0.6398711986976169,256,1e-05,0.01,90.0,COMPLETE
78,78,0.79910865376218,2021-05-13 22:32:40.823456,2021-05-13 22:54:47.551553,0 days 00:22:06.728097,0.6434870887568751,256,1e-05,0.01,50.0,COMPLETE
79,79,0.80180034486299,2021-05-13 22:54:47.552724,2021-05-13 23:22:29.348579,0 days 00:27:41.795855,0.6652287194232057,256,1e-05,0.01,80.0,COMPLETE
80,80,0.7941568795953649,2021-05-13 23:22:29.349932,2021-05-13 23:35:46.671943,0 days 00:13:17.322011,0.7880299982778132,256,1e-05,0.01,75.0,COMPLETE
81,81,0.7972666771627316,2021-05-13 23:35:46.672954,2021-05-14 00:04:18.153255,0 days 00:28:31.480301,0.6733909052530436,256,1e-05,0.01,80.0,COMPLETE
82,82,0.7981777619628226,2021-05-14 00:04:18.154277,2021-05-14 00:31:51.814372,0 days 00:27:33.660095,0.5724027487740865,256,1e-05,0.01,70.0,COMPLETE
83,83,0.7939700530064264,2021-05-14 00:31:51.816153,2021-05-14 00:45:08.397124,0 days 00:13:16.580971,0.7103944561974925,256,1e-05,0.01,85.0,COMPLETE
84,84,0.7998086181216283,2021-05-14 00:45:08.398009,2021-05-14 01:12:39.452662,0 days 00:27:31.054653,0.6158372088094856,256,1e-05,0.01,90.0,COMPLETE
85,85,0.8004960638936399,2021-05-14 01:12:39.454571,2021-05-14 01:41:05.636699,0 days 00:28:26.182128,0.6171643217366205,256,1e-05,0.01,80.0,COMPLETE
86,86,0.7994579925828856,2021-05-14 01:41:05.638180,2021-05-14 02:08:00.535877,0 days 00:26:54.897697,0.6510724838142186,256,1e-05,0.01,65.0,COMPLETE
87,87,0.7950679451715809,2021-05-14 02:08:00.536764,2021-05-14 02:27:39.822498,0 days 00:19:39.285734,0.10777136675905202,256,1e-05,0.01,75.0,COMPLETE
88,88,0.7841550370253885,2021-05-14 02:27:39.823921,2021-05-14 02:46:55.657917,0 days 00:19:15.833996,0.6348154606819177,256,0.0001,0.01,80.0,COMPLETE
89,89,0.7660287773104878,2021-05-14 02:46:55.658826,2021-05-14 03:18:36.366020,0 days 00:31:40.707194,0.5709055986379136,256,0.001,0.01,85.0,COMPLETE
90,90,0.8012384348398707,2021-05-14 03:18:36.367146,2021-05-14 03:48:55.780443,0 days 00:30:19.413297,0.6697289011313585,256,1e-05,0.01,80.0,COMPLETE
91,91,0.7987519034968444,2021-05-14 03:48:55.781484,2021-05-14 04:17:05.358979,0 days 00:28:09.577495,0.6785921679217967,256,1e-05,0.01,70.0,COMPLETE
92,92,0.7985610809050777,2021-05-14 04:17:05.360098,2021-05-14 04:44:06.883806,0 days 00:27:01.523708,0.7051312042459883,256,1e-05,0.01,80.0,COMPLETE
93,93,0.800600769933113,2021-05-14 04:44:06.884824,2021-05-14 05:12:38.185841,0 days 00:28:31.301017,0.7447868328499512,256,1e-05,0.01,75.0,COMPLETE
94,94,0.8011501511160624,2021-05-14 05:12:38.187022,2021-05-14 05:41:07.431069,0 days 00:28:29.244047,0.7514201191598366,256,1e-05,0.01,75.0,COMPLETE
95,95,0.7919810611816894,2021-05-14 05:41:07.431989,2021-05-14 06:00:14.563356,0 days 00:19:07.131367,0.8429324584877849,256,1e-05,0.01,75.0,COMPLETE
96,96,0.7938021119523433,2021-05-14 06:00:14.564552,2021-05-14 06:13:04.030144,0 days 00:12:49.465592,0.7715677844716358,256,1e-05,0.01,70.0,COMPLETE
97,97,0.8010834083850503,2021-05-14 06:13:04.031530,2021-05-14 06:41:36.113082,0 days 00:28:32.081552,0.7280992395911623,256,1e-05,0.01,75.0,COMPLETE
98,98,0.7991359644806766,2021-05-14 06:41:36.114027,2021-05-14 07:10:02.929619,0 days 00:28:26.815592,0.744177712601469,256,1e-05,0.01,60.0,COMPLETE
99,99,0.7922029405844054,2021-05-14 07:10:02.930786,2021-05-14 07:26:02.025210,0 days 00:15:59.094424,0.834720865302829,256,1e-05,0.01,65.0,COMPLETE
