,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.6549341392091119,2021-04-18 00:04:14.616214,2021-04-18 00:07:24.282195,0 days 00:03:09.665981,128,0.001,0.05,80.0,COMPLETE
40,40,0.5023643136349686,2021-04-18 00:07:24.283398,2021-04-18 00:08:34.676915,0 days 00:01:10.393517,128,1.0,0.001,25.0,COMPLETE
41,41,0.8258526729275735,2021-04-18 00:08:34.677663,2021-04-18 00:14:33.415263,0 days 00:05:58.737600,128,0.001,0.001,100.0,COMPLETE
42,42,0.8256039710927874,2021-04-18 00:14:33.418094,2021-04-18 00:20:31.485395,0 days 00:05:58.067301,128,0.001,0.001,90.0,COMPLETE
43,43,0.8255650260851067,2021-04-18 00:20:31.486341,2021-04-18 00:26:27.048817,0 days 00:05:55.562476,128,0.001,0.001,95.0,COMPLETE
44,44,0.8152505174400737,2021-04-18 00:26:27.049768,2021-04-18 00:29:39.363031,0 days 00:03:12.313263,128,0.001,0.01,65.0,COMPLETE
45,45,0.7163688712415197,2021-04-18 00:29:39.363996,2021-04-18 00:30:15.045498,0 days 00:00:35.681502,256,1e-05,0.1,85.0,COMPLETE
46,46,0.8258536341213263,2021-04-18 00:30:15.046429,2021-04-18 00:36:16.645083,0 days 00:06:01.598654,128,0.001,0.001,100.0,COMPLETE
47,47,0.5063343770479194,2021-04-18 00:36:16.646047,2021-04-18 00:37:15.944899,0 days 00:00:59.298852,128,0.01,0.001,115.0,COMPLETE
48,48,0.5058282047281382,2021-04-18 00:37:15.945838,2021-04-18 00:37:47.157692,0 days 00:00:31.211854,512,0.001,0.05,95.0,COMPLETE
49,49,0.8252349175474157,2021-04-18 00:37:47.158682,2021-04-18 00:42:07.949856,0 days 00:04:20.791174,128,0.001,0.001,65.0,COMPLETE
