,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
35,35,0.672168641807903,2021-04-17 23:40:22.908212,2021-04-17 23:40:58.200172,0 days 00:00:35.291960,2048,0.06930475966379804,1.0,0.1,175.0,COMPLETE
36,36,0.7765039296266326,2021-04-17 23:40:58.201201,2021-04-17 23:44:09.816152,0 days 00:03:11.614951,2048,0.04459481630604191,0.1,0.005,190.0,COMPLETE
37,37,0.7153417613843224,2021-04-17 23:44:09.817211,2021-04-17 23:45:02.678824,0 days 00:00:52.861613,2048,0.04281705310950101,1e-05,0.05,190.0,COMPLETE
38,38,0.776505222752628,2021-04-17 23:45:02.679902,2021-04-17 23:48:12.593796,0 days 00:03:09.913894,2048,0.03196377414113514,0.1,0.005,190.0,COMPLETE
39,39,0.7702334783712336,2021-04-17 23:48:12.594835,2021-04-17 23:51:50.928779,0 days 00:03:38.333944,1024,0.03327950236189632,0.01,0.005,190.0,COMPLETE
40,40,0.6852983267559657,2021-04-17 23:51:50.929790,2021-04-17 23:52:31.967849,0 days 00:00:41.038059,2048,0.03153419359701618,0.1,0.1,125.0,COMPLETE
41,41,0.7752497922129793,2021-04-17 23:52:31.968868,2021-04-17 23:55:43.210163,0 days 00:03:11.241295,2048,0.04630936200158049,0.1,0.005,180.0,COMPLETE
42,42,0.7758821346695297,2021-04-17 23:55:43.211172,2021-04-17 23:58:50.760642,0 days 00:03:07.549470,2048,0.08244131277261998,0.1,0.005,170.0,COMPLETE
43,43,0.7751393625851062,2021-04-17 23:58:50.761667,2021-04-18 00:01:34.207059,0 days 00:02:43.445392,4096,0.09151628007868054,0.1,0.005,150.0,COMPLETE
44,44,0.7704307935064026,2021-04-18 00:01:34.208084,2021-04-18 00:04:35.437177,0 days 00:03:01.229093,2048,0.10652818490699283,1e-05,0.005,190.0,COMPLETE
45,45,0.7717825523207749,2021-04-18 00:04:35.438235,2021-04-18 00:06:47.793091,0 days 00:02:12.354856,2048,0.05910618880805436,0.1,0.01,180.0,COMPLETE
46,46,0.7176204557245655,2021-04-18 00:06:47.794204,2021-04-18 00:07:30.401417,0 days 00:00:42.607213,2048,0.0817783480845588,0.1,0.05,200.0,COMPLETE
47,47,0.4979505478066194,2021-04-18 00:07:30.402426,2021-04-18 00:07:59.461145,0 days 00:00:29.058719,4096,0.05060803246705213,0.1,0.001,90.0,COMPLETE
48,48,0.7665135829339398,2021-04-18 00:07:59.462128,2021-04-18 00:10:58.448662,0 days 00:02:58.986534,2048,0.037035691901056274,0.001,0.005,165.0,COMPLETE
49,49,0.5013639377800162,2021-04-18 00:10:58.449703,2021-04-18 00:11:20.887302,0 days 00:00:22.437599,1024,0.9887161474814047,1.0,0.005,185.0,COMPLETE
50,50,0.5037680473995346,2021-04-18 00:11:20.888335,2021-04-18 00:11:44.957384,0 days 00:00:24.069049,2048,0.06366338116199066,0.1,0.005,195.0,COMPLETE
51,51,0.7758759035708281,2021-04-18 00:11:44.958734,2021-04-18 00:14:53.454660,0 days 00:03:08.495926,2048,0.08017810885069852,0.1,0.005,170.0,COMPLETE
52,52,0.5005006935153902,2021-04-18 00:14:53.455720,2021-04-18 00:15:15.585632,0 days 00:00:22.129912,2048,0.10101346281648908,0.1,0.005,150.0,COMPLETE
53,53,0.5007224383509807,2021-04-18 00:15:15.586637,2021-04-18 00:15:37.396075,0 days 00:00:21.809438,2048,0.0811908027435967,0.01,0.005,175.0,COMPLETE
54,54,0.7764194637644104,2021-04-18 00:15:37.397193,2021-04-18 00:19:11.402253,0 days 00:03:34.005060,2048,0.11261559272075161,0.1,0.005,165.0,COMPLETE
55,55,0.7686147486328134,2021-04-18 00:19:11.403310,2021-04-18 00:22:11.144056,0 days 00:02:59.740746,2048,0.14361749727078021,0.0001,0.005,160.0,COMPLETE
56,56,0.6805984161105875,2021-04-18 00:22:11.145072,2021-04-18 00:22:50.819989,0 days 00:00:39.674917,2048,0.09583564590222868,0.1,0.1,180.0,COMPLETE
57,57,0.4999811029308197,2021-04-18 00:22:50.821071,2021-04-18 00:23:12.938871,0 days 00:00:22.117800,1024,0.1136846944530974,0.1,0.001,50.0,COMPLETE
58,58,0.49938746838749093,2021-04-18 00:23:12.940032,2021-04-18 00:23:35.375332,0 days 00:00:22.435300,2048,0.13317159685498295,0.1,0.005,5.0,COMPLETE
59,59,0.499866277443517,2021-04-18 00:23:35.376331,2021-04-18 00:23:57.369912,0 days 00:00:21.993581,2048,0.04433804073498513,1e-05,0.005,135.0,COMPLETE
60,60,0.7737400195536029,2021-04-18 00:23:57.371500,2021-04-18 00:25:54.208812,0 days 00:01:56.837312,4096,0.05263545797418929,0.1,0.01,145.0,COMPLETE
61,61,0.7763778107535302,2021-04-18 00:25:54.209895,2021-04-18 00:29:29.417264,0 days 00:03:35.207369,2048,0.07538733407268691,0.1,0.005,165.0,COMPLETE
62,62,0.7763592174215758,2021-04-18 00:29:29.418343,2021-04-18 00:33:06.256352,0 days 00:03:36.838009,2048,0.0652877048172436,0.1,0.005,165.0,COMPLETE
