,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_learning_rate,params_rank,state
33,33,0.7019917157196733,2021-04-17 23:26:39.451875,2021-04-17 23:27:23.862033,0 days 00:00:44.410158,0.12642808893716714,8192,0.030102990721990516,0.1,95.0,COMPLETE
34,34,0.7439982139328372,2021-04-17 23:27:23.863066,2021-04-17 23:29:38.921677,0 days 00:02:15.058611,0.14068144009057815,4096,0.04676355951539668,0.01,85.0,COMPLETE
35,35,0.5957897178638479,2021-04-17 23:29:38.923155,2021-04-17 23:33:12.960603,0 days 00:03:34.037448,0.14437094942681247,2048,0.03580468621237394,0.001,75.0,COMPLETE
36,36,0.49869071185199365,2021-04-17 23:33:12.961775,2021-04-17 23:33:34.913890,0 days 00:00:21.952115,0.15112014444571925,8192,0.027855883168835773,0.01,65.0,COMPLETE
37,37,0.6694279900605081,2021-04-17 23:33:34.914840,2021-04-17 23:34:53.918649,0 days 00:01:19.003809,0.13510748836361056,1024,0.012842694523444102,0.05,95.0,COMPLETE
38,38,0.49987979182768155,2021-04-17 23:34:53.919532,2021-04-17 23:35:16.033845,0 days 00:00:22.114313,0.12086606827456578,16384,0.025534441695206307,0.01,5.0,COMPLETE
39,39,0.7245507075380536,2021-04-17 23:35:16.034700,2021-04-17 23:36:14.275588,0 days 00:00:58.240888,0.13099854508798717,8192,0.050201644653083896,0.1,80.0,COMPLETE
40,40,0.5022407681979404,2021-04-17 23:36:14.276488,2021-04-17 23:36:48.651023,0 days 00:00:34.374535,0.15029586175403406,4096,0.03781828589752274,0.001,50.0,COMPLETE
41,41,0.750509953015209,2021-04-17 23:36:48.652442,2021-04-17 23:38:35.891556,0 days 00:01:47.239114,0.13783783041102649,8192,0.020228753217714064,0.01,85.0,COMPLETE
42,42,0.7505911649161799,2021-04-17 23:38:35.892825,2021-04-17 23:40:22.671701,0 days 00:01:46.778876,0.1357960549881596,8192,0.017335476846955238,0.01,85.0,COMPLETE
43,43,0.7497698645837433,2021-04-17 23:40:22.673283,2021-04-17 23:42:27.053374,0 days 00:02:04.380091,0.12302341189259106,8192,0.01642827577769084,0.01,75.0,COMPLETE
44,44,0.4969344724537044,2021-04-17 23:42:27.054847,2021-04-17 23:42:49.118992,0 days 00:00:22.064145,0.14584261088374256,8192,0.04351834818165653,0.01,95.0,COMPLETE
45,45,0.4992369595433088,2021-04-17 23:42:49.120198,2021-04-17 23:43:11.297677,0 days 00:00:22.177479,0.11426580827565629,16384,0.030411146955481853,0.01,30.0,COMPLETE
46,46,0.5018534045523736,2021-04-17 23:43:11.299049,2021-04-17 23:43:33.012129,0 days 00:00:21.713080,0.12912974381186398,1024,0.022934964014897995,0.005,70.0,COMPLETE
47,47,0.4989309641528967,2021-04-17 23:43:33.013388,2021-04-17 23:43:54.891144,0 days 00:00:21.877756,0.13914875846668662,8192,0.014874517578472354,0.01,80.0,COMPLETE
48,48,0.7520888790795293,2021-04-17 23:43:54.892425,2021-04-17 23:45:38.149097,0 days 00:01:43.256672,0.11091061881457681,16384,0.03562455387167532,0.01,85.0,COMPLETE
49,49,0.7430213104293285,2021-04-17 23:45:38.150507,2021-04-17 23:47:08.433109,0 days 00:01:30.282602,0.10645039961980798,16384,0.052847549220938685,0.01,95.0,COMPLETE
50,50,0.7145595342187334,2021-04-17 23:47:08.434382,2021-04-17 23:47:40.956128,0 days 00:00:32.521746,0.11021840073845654,16384,0.043463555275931764,0.1,60.0,COMPLETE
51,51,0.7513389095762847,2021-04-17 23:47:40.957315,2021-04-17 23:49:24.347729,0 days 00:01:43.390414,0.11811253635914432,16384,0.03729758992084029,0.01,85.0,COMPLETE
52,52,0.7537776529291044,2021-04-17 23:49:24.349010,2021-04-17 23:51:03.223666,0 days 00:01:38.874656,0.11925102088853286,16384,0.03701993449001826,0.01,90.0,COMPLETE
53,53,0.7555701959746416,2021-04-17 23:51:03.224845,2021-04-17 23:52:42.648093,0 days 00:01:39.423248,0.11346591769906626,16384,0.03147492246452131,0.01,90.0,COMPLETE
54,54,0.7555036211321384,2021-04-17 23:52:42.649254,2021-04-17 23:54:27.223226,0 days 00:01:44.573972,0.11370502148327066,16384,0.031701996478146484,0.01,90.0,COMPLETE
55,55,0.755933141454112,2021-04-17 23:54:27.224208,2021-04-17 23:56:07.885981,0 days 00:01:40.661773,0.1001848374853935,16384,0.03097451999786972,0.01,90.0,COMPLETE
56,56,0.7532649637156792,2021-04-17 23:56:07.886942,2021-04-17 23:57:46.297419,0 days 00:01:38.410477,0.101518857741496,16384,0.030216931039452558,0.01,100.0,COMPLETE
57,57,0.7387131708232717,2021-04-17 23:57:46.298306,2021-04-17 23:58:47.021622,0 days 00:01:00.723316,0.10081796031202744,16384,0.044454215040338606,0.01,100.0,COMPLETE
58,58,0.7525832005211341,2021-04-17 23:58:47.022834,2021-04-18 00:00:28.678425,0 days 00:01:41.655591,0.10466620766168346,16384,0.03155312008187107,0.01,95.0,COMPLETE
59,59,0.5010513780770682,2021-04-18 00:00:28.679740,2021-04-18 00:00:51.416973,0 days 00:00:22.737233,0.10362878281900664,16384,0.039285666093662304,0.005,100.0,COMPLETE
60,60,0.7354654944976349,2021-04-18 00:00:51.418159,2021-04-18 00:01:27.621269,0 days 00:00:36.203110,0.10017520019483923,16384,0.032237360123914656,0.05,90.0,COMPLETE
61,61,0.7537728943792321,2021-04-18 00:01:27.622490,2021-04-18 00:03:11.802962,0 days 00:01:44.180472,0.10676791937048317,16384,0.026209755095652796,0.01,95.0,COMPLETE
62,62,0.7536824857764343,2021-04-18 00:03:11.804177,2021-04-18 00:05:01.255699,0 days 00:01:49.451522,0.1131841226479963,16384,0.025276523051346027,0.01,95.0,COMPLETE
63,63,0.7538218729681004,2021-04-18 00:05:01.257002,2021-04-18 00:06:51.778668,0 days 00:01:50.521666,0.11292912262275132,16384,0.022341412333896443,0.01,95.0,COMPLETE
64,64,0.7566063333635652,2021-04-18 00:06:51.779996,2021-04-18 00:08:35.528217,0 days 00:01:43.748221,0.1127364184289087,16384,0.026363951890884283,0.01,90.0,COMPLETE
65,65,0.7535901406886224,2021-04-18 00:08:35.529472,2021-04-18 00:10:03.134298,0 days 00:01:27.604826,0.10746136985615841,16384,0.02168985605767449,0.01,90.0,COMPLETE
66,66,0.7535251780884407,2021-04-18 00:10:03.135616,2021-04-18 00:11:46.772476,0 days 00:01:43.636860,0.11399258392506693,16384,0.025894787354342606,0.01,95.0,COMPLETE
67,67,0.4991213586930455,2021-04-18 00:11:46.773716,2021-04-18 00:12:09.243120,0 days 00:00:22.469404,0.10811539708445181,16384,0.03466646115451029,0.001,80.0,COMPLETE
68,68,0.7297151836296328,2021-04-18 00:12:09.244414,2021-04-18 00:13:05.916832,0 days 00:00:56.672418,0.11653312958625718,16384,0.0811811211405893,0.01,90.0,COMPLETE
69,69,0.7538721703147977,2021-04-18 00:13:05.918091,2021-04-18 00:14:34.230304,0 days 00:01:28.312213,0.11160581126839028,16384,0.020718631363836157,0.01,90.0,COMPLETE
70,70,0.7539305583497102,2021-04-18 00:14:34.231529,2021-04-18 00:16:03.352567,0 days 00:01:29.121038,0.11146873584983129,16384,0.020385453771569112,0.01,90.0,COMPLETE
71,71,0.7539625417514371,2021-04-18 00:16:03.353812,2021-04-18 00:17:31.429296,0 days 00:01:28.075484,0.11126514575478033,16384,0.020191407007199163,0.01,90.0,COMPLETE
72,72,0.7538997706730117,2021-04-18 00:17:31.430591,2021-04-18 00:19:02.850339,0 days 00:01:31.419748,0.1764840616257538,16384,0.020357324285195207,0.01,90.0,COMPLETE
73,73,0.7536311298350173,2021-04-18 00:19:02.851572,2021-04-18 00:20:33.777931,0 days 00:01:30.926359,0.18258195726524987,16384,0.013677482892511712,0.01,90.0,COMPLETE
74,74,0.4985466263452637,2021-04-18 00:20:33.779215,2021-04-18 00:20:56.094644,0 days 00:00:22.315429,0.16974202090313187,16384,0.01981385968044797,0.01,80.0,COMPLETE
75,75,0.7581607054130721,2021-04-18 00:20:56.095990,2021-04-18 00:23:18.507843,0 days 00:02:22.411853,0.1104388620662309,16384,0.017876647631864428,0.01,75.0,COMPLETE
76,76,0.7509333383578563,2021-04-18 00:23:18.509124,2021-04-18 00:24:54.687987,0 days 00:01:36.178863,0.1880773681019312,16384,0.010725011127476917,0.01,100.0,COMPLETE
77,77,0.7516092318625507,2021-04-18 00:24:54.689239,2021-04-18 00:26:43.297889,0 days 00:01:48.608650,0.1222379433676529,16384,0.015303241114675892,0.01,75.0,COMPLETE
78,78,0.6603769103687389,2021-04-18 00:26:43.299091,2021-04-18 00:27:34.557408,0 days 00:00:51.258317,0.11598358432564415,2048,0.027524790296341216,0.1,80.0,COMPLETE
79,79,0.4985466084029803,2021-04-18 00:27:34.558680,2021-04-18 00:27:56.982927,0 days 00:00:22.424247,0.1827297424934416,16384,0.010079018977500237,0.01,80.0,COMPLETE
80,80,0.7273624004749231,2021-04-18 00:27:56.984105,2021-04-18 00:28:34.272370,0 days 00:00:37.288265,0.10913144724321666,16384,0.016553019459443128,0.05,70.0,COMPLETE
81,81,0.754044049700084,2021-04-18 00:28:34.273626,2021-04-18 00:30:03.570914,0 days 00:01:29.297288,0.10465700420013034,16384,0.01907686195101167,0.01,90.0,COMPLETE
82,82,0.7505801701412393,2021-04-18 00:30:03.571803,2021-04-18 00:31:34.527667,0 days 00:01:30.955864,0.10569101775786348,16384,0.018173160912731343,0.01,85.0,COMPLETE
83,83,0.7573583687925826,2021-04-18 00:31:34.528912,2021-04-18 00:33:23.483871,0 days 00:01:48.954959,0.10307414014740875,16384,0.022817883405706032,0.01,90.0,COMPLETE
84,84,0.7564086798881952,2021-04-18 00:33:23.485136,2021-04-18 00:35:27.353154,0 days 00:02:03.868018,0.10337985683489745,16384,0.02292417162188752,0.01,85.0,COMPLETE
85,85,0.7335889431181019,2021-04-18 00:35:27.354335,2021-04-18 00:38:26.781677,0 days 00:02:59.427342,0.1034827892786151,1024,0.023888549870642452,0.01,85.0,COMPLETE
86,86,0.7538537012972353,2021-04-18 00:38:26.783059,2021-04-18 00:40:17.806337,0 days 00:01:51.023278,0.10286231496424311,16384,0.028287957472681632,0.01,75.0,COMPLETE
87,87,0.4970218154892267,2021-04-18 00:40:17.807223,2021-04-18 00:40:40.086047,0 days 00:00:22.278824,0.10902223034964593,4096,0.012784698714497144,0.005,95.0,COMPLETE
88,88,0.7550414009986941,2021-04-18 00:40:40.086916,2021-04-18 00:42:27.461653,0 days 00:01:47.374737,0.10040720474914995,16384,0.024278666139955163,0.01,85.0,COMPLETE
89,89,0.4974648501953648,2021-04-18 00:42:27.462911,2021-04-18 00:42:50.771788,0 days 00:00:23.308877,0.10037699752623173,16384,0.024342236320372305,0.001,85.0,COMPLETE
90,90,0.4985476349579083,2021-04-18 00:42:50.772624,2021-04-18 00:43:12.754580,0 days 00:00:21.981956,0.10517680036998606,16384,0.03319647971183135,0.01,80.0,COMPLETE
91,91,0.7535200145556005,2021-04-18 00:43:12.755414,2021-04-18 00:44:40.243375,0 days 00:01:27.487961,0.11553155718613861,16384,0.022758893675901268,0.01,90.0,COMPLETE
92,92,0.7505250565730448,2021-04-18 00:44:40.244258,2021-04-18 00:46:06.987617,0 days 00:01:26.743359,0.1001098933621091,16384,0.01808434170953717,0.01,85.0,COMPLETE
93,93,0.7566250599810533,2021-04-18 00:46:06.988886,2021-04-18 00:47:45.925073,0 days 00:01:38.936187,0.10772811096031266,16384,0.027141146824969382,0.01,90.0,COMPLETE
94,94,0.7534266134362522,2021-04-18 00:47:45.925997,2021-04-18 00:49:23.652452,0 days 00:01:37.726455,0.10291843062248095,16384,0.028541681591507294,0.01,95.0,COMPLETE
95,95,0.7528684430976271,2021-04-18 00:49:23.653307,2021-04-18 00:50:57.950990,0 days 00:01:34.297683,0.10712212155058205,16384,0.031256358220294975,0.01,100.0,COMPLETE
96,96,0.7542881096098398,2021-04-18 00:50:57.952616,2021-04-18 00:52:43.267806,0 days 00:01:45.315190,0.10186361010650495,16384,0.026208695360203392,0.01,75.0,COMPLETE
97,97,0.741452584553113,2021-04-18 00:52:43.269005,2021-04-18 00:55:11.909055,0 days 00:02:28.640050,0.11826634448910756,2048,0.025139947233907757,0.01,70.0,COMPLETE
98,98,0.7529843399955664,2021-04-18 00:55:11.909981,2021-04-18 00:57:12.358315,0 days 00:02:00.448334,0.10225634407033522,16384,0.027264168326279606,0.01,65.0,COMPLETE
99,99,0.7519442565858894,2021-04-18 00:57:12.359508,2021-04-18 00:58:55.558123,0 days 00:01:43.198615,0.10874601210699757,16384,0.034277950414964335,0.01,75.0,COMPLETE
