,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.8093139349123267,2021-04-17 23:28:50.288582,2021-04-17 23:28:58.960035,0 days 00:00:08.671453,1024,0.0001,0.01,120.0,COMPLETE
40,40,0.8061489520076318,2021-04-17 23:28:58.960987,2021-04-17 23:29:32.193705,0 days 00:00:33.232718,512,1e-05,0.01,185.0,COMPLETE
41,41,0.8147346678215892,2021-04-17 23:29:32.194692,2021-04-17 23:31:21.547308,0 days 00:01:49.352616,256,0.001,0.01,135.0,COMPLETE
42,42,0.8161956579756228,2021-04-17 23:31:21.548083,2021-04-17 23:33:01.519351,0 days 00:01:39.971268,256,0.001,0.01,140.0,COMPLETE
43,43,0.8167881877869317,2021-04-17 23:33:01.520202,2021-04-17 23:34:22.650578,0 days 00:01:21.130376,256,0.001,0.01,85.0,COMPLETE
44,44,0.6442947073462865,2021-04-17 23:34:22.651471,2021-04-17 23:35:18.659554,0 days 00:00:56.008083,256,0.001,0.1,80.0,COMPLETE
45,45,0.5021853957482284,2021-04-17 23:35:18.660425,2021-04-17 23:35:55.016323,0 days 00:00:36.355898,256,1.0,0.01,90.0,COMPLETE
46,46,0.8206565133267182,2021-04-17 23:35:55.017785,2021-04-17 23:39:39.210697,0 days 00:03:44.192912,128,0.001,0.001,65.0,COMPLETE
47,47,0.7921773382276055,2021-04-17 23:39:39.212028,2021-04-17 23:40:55.455198,0 days 00:01:16.243170,128,1e-05,0.001,55.0,COMPLETE
48,48,0.812532021849477,2021-04-17 23:40:55.456184,2021-04-17 23:42:25.434692,0 days 00:01:29.978508,128,0.001,0.001,35.0,COMPLETE
49,49,0.7878363206688358,2021-04-17 23:42:25.435721,2021-04-17 23:47:10.893354,0 days 00:04:45.457633,128,0.01,0.001,75.0,COMPLETE
