,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_lambda,params_learning_rate,params_rank,state
39,39,0.7979522761611462,2021-04-17 23:12:13.098583,2021-04-17 23:12:23.014427,0 days 00:00:09.915844,1024,1e-05,0.01,85.0,COMPLETE
40,40,0.8044210024638754,2021-04-17 23:12:23.015330,2021-04-17 23:12:48.356497,0 days 00:00:25.341167,512,0.0001,0.005,5.0,COMPLETE
41,41,0.829240979588797,2021-04-17 23:12:48.357489,2021-04-17 23:13:04.189004,0 days 00:00:15.831515,1024,0.0001,0.005,115.0,COMPLETE
42,42,0.828654154142013,2021-04-17 23:13:04.190135,2021-04-17 23:13:21.400231,0 days 00:00:17.210096,1024,0.0001,0.005,100.0,COMPLETE
43,43,0.8293850804746269,2021-04-17 23:13:21.401157,2021-04-17 23:13:35.571380,0 days 00:00:14.170223,1024,0.0001,0.005,140.0,COMPLETE
44,44,0.8019285809255319,2021-04-17 23:13:35.572811,2021-04-17 23:14:14.546950,0 days 00:00:38.974139,1024,0.0001,0.1,145.0,COMPLETE
45,45,0.5027442222617886,2021-04-17 23:14:14.547786,2021-04-17 23:15:02.777166,0 days 00:00:48.229380,256,1.0,0.005,180.0,COMPLETE
46,46,0.8063168084766646,2021-04-17 23:15:02.778127,2021-04-17 23:15:54.228505,0 days 00:00:51.450378,128,1e-05,0.005,140.0,COMPLETE
47,47,0.7728592969417757,2021-04-17 23:15:54.229488,2021-04-17 23:16:21.939726,0 days 00:00:27.710238,1024,0.0001,0.05,100.0,COMPLETE
48,48,0.8287407013091079,2021-04-17 23:16:21.940842,2021-04-17 23:16:43.134759,0 days 00:00:21.193917,1024,0.0001,0.005,75.0,COMPLETE
49,49,0.5041186575591773,2021-04-17 23:16:43.135883,2021-04-17 23:17:05.940240,0 days 00:00:22.804357,1024,0.01,0.001,170.0,COMPLETE
