,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
27,27,0.4982143839574415,2021-04-17 23:14:19.443215,2021-04-17 23:14:45.526323,0 days 00:00:26.083108,0.1166371373042199,8192,0.09163789594639259,1.0,0.01,95.0,COMPLETE
28,28,0.6013935197352711,2021-04-17 23:14:45.527691,2021-04-17 23:15:26.935204,0 days 00:00:41.407513,0.13495272185551022,8192,0.08128869063603601,0.0001,0.01,75.0,COMPLETE
29,29,0.5011361515212913,2021-04-17 23:15:26.936251,2021-04-17 23:15:50.380058,0 days 00:00:23.443807,0.11841047263599551,8192,0.08961493865374409,0.001,0.001,100.0,COMPLETE
30,30,0.7543092058903266,2021-04-17 23:15:50.381574,2021-04-17 23:17:59.331807,0 days 00:02:08.950233,0.12903026689912703,8192,0.05104718902487171,1e-05,0.01,85.0,COMPLETE
31,31,0.7562684096798681,2021-04-17 23:17:59.333525,2021-04-17 23:20:08.409978,0 days 00:02:09.076453,0.1259700958045932,8192,0.039453381717128484,1e-05,0.01,85.0,COMPLETE
32,32,0.7560755685812204,2021-04-17 23:20:08.410926,2021-04-17 23:22:02.209963,0 days 00:01:53.799037,0.1301000403073273,8192,0.03381434393977547,1e-05,0.01,90.0,COMPLETE
33,33,0.4985535943591758,2021-04-17 23:22:02.210922,2021-04-17 23:22:25.039973,0 days 00:00:22.829051,0.12901161393281851,8192,0.03660494972366318,1e-05,0.01,65.0,COMPLETE
34,34,0.5010123202893206,2021-04-17 23:22:25.041325,2021-04-17 23:22:56.268504,0 days 00:00:31.227179,0.14313426642871827,16384,0.040680385814759794,1.0,0.01,90.0,COMPLETE
35,35,0.7563523077969803,2021-04-17 23:22:56.269956,2021-04-17 23:25:04.107236,0 days 00:02:07.837280,0.13479009479930154,8192,0.026983178379152286,1e-05,0.01,75.0,COMPLETE
36,36,0.5001010035211372,2021-04-17 23:25:04.108408,2021-04-17 23:25:40.463927,0 days 00:00:36.355519,0.15197333048658457,8192,0.026506086013328538,0.001,0.001,75.0,COMPLETE
37,37,0.4982444782930462,2021-04-17 23:25:40.465311,2021-04-17 23:26:06.439571,0 days 00:00:25.974260,0.13516077309135835,8192,0.011481377758440214,0.01,0.01,95.0,COMPLETE
38,38,0.7344529307058968,2021-04-17 23:26:06.440874,2021-04-17 23:29:47.552362,0 days 00:03:41.111488,0.14705307037632892,1024,0.0486195808746147,1e-05,0.01,60.0,COMPLETE
39,39,0.4994064218467047,2021-04-17 23:29:47.553726,2021-04-17 23:30:10.697717,0 days 00:00:23.143991,0.1375981305022036,8192,0.030823503870543247,0.1,0.05,75.0,COMPLETE
40,40,0.4984779637899294,2021-04-17 23:30:10.699012,2021-04-17 23:30:34.220675,0 days 00:00:23.521663,0.12980411550010323,16384,0.03572027966242993,1e-05,0.01,80.0,COMPLETE
41,41,0.7579465437553954,2021-04-17 23:30:34.222003,2021-04-17 23:32:44.554937,0 days 00:02:10.332934,0.10893905543613919,8192,0.022857760356254107,1e-05,0.01,85.0,COMPLETE
42,42,0.7589761514347583,2021-04-17 23:32:44.556356,2021-04-17 23:34:55.058235,0 days 00:02:10.501879,0.11027018872630524,8192,0.022528837998908053,1e-05,0.01,90.0,COMPLETE
43,43,0.7589663613559879,2021-04-17 23:34:55.059562,2021-04-17 23:37:05.587143,0 days 00:02:10.527581,0.11070781875955311,8192,0.022140149297843782,1e-05,0.01,90.0,COMPLETE
44,44,0.5028262582262037,2021-04-17 23:37:05.588597,2021-04-17 23:37:33.350863,0 days 00:00:27.762266,0.1111044033005959,8192,0.02116642322747419,0.01,0.01,100.0,COMPLETE
45,45,0.5018624602791167,2021-04-17 23:37:33.352419,2021-04-17 23:37:56.455145,0 days 00:00:23.102726,0.10725581812537849,1024,0.010195275541859682,1e-05,0.05,70.0,COMPLETE
46,46,0.4968133735751751,2021-04-17 23:37:56.456163,2021-04-17 23:38:19.546971,0 days 00:00:23.090808,0.10649379438699766,8192,0.02358323349672671,1e-05,0.005,95.0,COMPLETE
47,47,0.7042179109387294,2021-04-17 23:38:19.548518,2021-04-17 23:38:53.827726,0 days 00:00:34.279208,0.12450888040055477,8192,0.015204258727699366,1e-05,0.1,80.0,COMPLETE
48,48,0.7567349321165499,2021-04-17 23:38:53.829161,2021-04-17 23:40:46.684609,0 days 00:01:52.855448,0.11216290586059184,8192,0.014842432284788272,1e-05,0.01,90.0,COMPLETE
49,49,0.6065982198630181,2021-04-17 23:40:46.686042,2021-04-17 23:41:27.322976,0 days 00:00:40.636934,0.11037815391558078,8192,0.015495587531335125,0.0001,0.01,90.0,COMPLETE
50,50,0.4976813084653149,2021-04-17 23:41:27.324286,2021-04-17 23:41:53.717113,0 days 00:00:26.392827,0.11137913675123966,16384,0.02624541336341327,0.001,0.01,95.0,COMPLETE
51,51,0.4989236231958086,2021-04-17 23:41:53.718456,2021-04-17 23:42:16.657019,0 days 00:00:22.938563,0.1204872906100458,8192,0.01821193937978297,1e-05,0.01,80.0,COMPLETE
52,52,0.756322246782759,2021-04-17 23:42:16.657946,2021-04-17 23:44:10.406082,0 days 00:01:53.748136,0.10725892275784932,8192,0.030356844486769737,1e-05,0.01,90.0,COMPLETE
53,53,0.5010784991199977,2021-04-17 23:44:10.407511,2021-04-17 23:44:33.689555,0 days 00:00:23.282044,0.10481688391019747,8192,0.029998167183803333,1e-05,0.01,100.0,COMPLETE
54,54,0.7589952240819974,2021-04-17 23:44:33.690860,2021-04-17 23:46:44.591339,0 days 00:02:10.900479,0.10592714640298753,8192,0.02362455417820979,1e-05,0.01,90.0,COMPLETE
55,55,0.760557121637793,2021-04-17 23:46:44.592809,2021-04-17 23:50:17.201047,0 days 00:03:32.608238,0.11276423548058845,8192,0.021928183171644286,1e-05,0.005,75.0,COMPLETE
56,56,0.4989657324533235,2021-04-17 23:50:17.202451,2021-04-17 23:50:40.081514,0 days 00:00:22.879063,0.11268926293507853,1024,0.022164554370780777,1e-05,0.005,65.0,COMPLETE
57,57,0.49996929050039346,2021-04-17 23:50:40.082931,2021-04-17 23:51:14.637907,0 days 00:00:34.554976,0.1905455813866576,8192,0.013211603023472318,0.1,0.005,90.0,COMPLETE
58,58,0.4968133120587749,2021-04-17 23:51:14.639254,2021-04-17 23:51:37.344890,0 days 00:00:22.705636,0.10095915529150706,8192,0.01757614424222777,1e-05,0.005,95.0,COMPLETE
59,59,0.5011209133963301,2021-04-17 23:51:37.346172,2021-04-17 23:52:00.184727,0 days 00:00:22.838555,0.10891026851798706,8192,0.02468600219518482,1e-05,0.005,100.0,COMPLETE
60,60,0.5039958169975678,2021-04-17 23:52:00.186032,2021-04-17 23:52:22.958580,0 days 00:00:22.772548,0.17164751872021905,4096,0.020528120582738486,0.01,0.1,85.0,COMPLETE
61,61,0.756537219687963,2021-04-17 23:52:22.959912,2021-04-17 23:54:33.278178,0 days 00:02:10.318266,0.11923995487925089,8192,0.027296733373665807,1e-05,0.01,75.0,COMPLETE
62,62,0.5016708495084727,2021-04-17 23:54:33.279203,2021-04-17 23:54:56.634961,0 days 00:00:23.355758,0.12005254858744369,8192,0.014922469706767572,1e-05,0.005,70.0,COMPLETE
63,63,0.4989221557733459,2021-04-17 23:54:56.636513,2021-04-17 23:55:20.295124,0 days 00:00:23.658611,0.10338774096602789,8192,0.01719932764858426,1e-05,0.01,80.0,COMPLETE
64,64,0.49892298752634007,2021-04-17 23:55:20.296156,2021-04-17 23:55:43.398159,0 days 00:00:23.102003,0.11411205007003501,8192,0.010403882911201645,1e-05,0.01,80.0,COMPLETE
65,65,0.49837337950166505,2021-04-17 23:55:43.399057,2021-04-17 23:57:42.331688,0 days 00:01:58.932631,0.11752813504344645,2048,0.032971451917286704,1.0,0.001,90.0,COMPLETE
66,66,0.4985714815341198,2021-04-17 23:57:42.332661,2021-04-17 23:58:05.275434,0 days 00:00:22.942773,0.10025720339410824,8192,0.02005215894004381,1e-05,0.01,65.0,COMPLETE
67,67,0.7255238393172763,2021-04-17 23:58:05.276396,2021-04-17 23:58:44.709219,0 days 00:00:39.432823,0.10524278410068802,8192,0.027105647445208783,1e-05,0.05,75.0,COMPLETE
68,68,0.7564901391363585,2021-04-17 23:58:44.710647,2021-04-18 00:01:07.020767,0 days 00:02:22.310120,0.10927089233321517,8192,0.022307658898236354,1e-05,0.01,50.0,COMPLETE
69,69,0.6051516668391518,2021-04-18 00:01:07.021805,2021-04-18 00:01:47.548492,0 days 00:00:40.526687,0.11337519853010666,8192,0.012496509050766342,0.0001,0.01,85.0,COMPLETE
70,70,0.4968533156611753,2021-04-18 00:01:47.549530,2021-04-18 00:02:10.396152,0 days 00:00:22.846622,0.12014205330215752,8192,0.024660583194793393,1e-05,0.01,95.0,COMPLETE
71,71,0.7564725018717903,2021-04-18 00:02:10.397542,2021-04-18 00:04:30.861355,0 days 00:02:20.463813,0.11015333495455132,8192,0.022487831025302437,1e-05,0.01,50.0,COMPLETE
72,72,0.7600255456079208,2021-04-18 00:04:30.862858,2021-04-18 00:07:55.178279,0 days 00:03:24.315421,0.10809924409164066,8192,0.028399566997474097,1e-05,0.01,40.0,COMPLETE
73,73,0.7599482733197447,2021-04-18 00:07:55.179296,2021-04-18 00:11:21.460068,0 days 00:03:26.280772,0.10313356680467062,8192,0.03248820994476022,1e-05,0.01,40.0,COMPLETE
74,74,0.7588094522430038,2021-04-18 00:11:21.461036,2021-04-18 00:15:07.350582,0 days 00:03:45.889546,0.10428212278815732,8192,0.03308695803553535,1e-05,0.01,25.0,COMPLETE
75,75,0.4985775229572541,2021-04-18 00:15:07.351607,2021-04-18 00:15:30.020968,0 days 00:00:22.669361,0.10320975302136545,8192,0.03921616507960872,1e-05,0.01,10.0,COMPLETE
76,76,0.49894013778607355,2021-04-18 00:15:30.021988,2021-04-18 00:15:53.057074,0 days 00:00:23.035086,0.10038705160311916,4096,0.04387918149181157,1e-05,0.01,35.0,COMPLETE
77,77,0.49930287692928504,2021-04-18 00:15:53.058054,2021-04-18 00:16:15.887408,0 days 00:00:22.829354,0.1065385913838609,8192,0.0317729752374392,1e-05,0.005,30.0,COMPLETE
78,78,0.5016541388346821,2021-04-18 00:16:15.888886,2021-04-18 00:16:44.588756,0 days 00:00:28.699870,0.10357536534538371,16384,0.03418417402735835,0.001,0.01,25.0,COMPLETE
79,79,0.5001181114883456,2021-04-18 00:16:44.589722,2021-04-18 00:17:07.406738,0 days 00:00:22.817016,0.10799509323054317,8192,0.029204329839553185,0.1,0.1,40.0,COMPLETE
80,80,0.7596584118868714,2021-04-18 00:17:07.407774,2021-04-18 00:20:32.190381,0 days 00:03:24.782607,0.11619424167956784,8192,0.035771663845117985,1e-05,0.01,40.0,COMPLETE
81,81,0.7596032637157017,2021-04-18 00:20:32.191383,2021-04-18 00:23:58.816704,0 days 00:03:26.625321,0.11505023992205379,8192,0.037084857745322275,1e-05,0.01,40.0,COMPLETE
82,82,0.7596093102652027,2021-04-18 00:23:58.817650,2021-04-18 00:27:25.464836,0 days 00:03:26.647186,0.11652087422130523,8192,0.036634251820392864,1e-05,0.01,40.0,COMPLETE
83,83,0.7595962457197145,2021-04-18 00:27:25.465971,2021-04-18 00:30:51.792167,0 days 00:03:26.326196,0.11544348563260029,8192,0.03712235176728039,1e-05,0.01,40.0,COMPLETE
84,84,0.7463897972753689,2021-04-18 00:30:51.793370,2021-04-18 00:34:16.716974,0 days 00:03:24.923604,0.11578675226170289,2048,0.03631079325953017,1e-05,0.01,40.0,COMPLETE
85,85,0.49909070430188085,2021-04-18 00:34:16.717935,2021-04-18 00:34:42.782650,0 days 00:00:26.064715,0.12670950039740422,8192,0.04258306528163883,1.0,0.01,40.0,COMPLETE
86,86,0.4989959459769535,2021-04-18 00:34:42.783646,2021-04-18 00:35:05.457846,0 days 00:00:22.674200,0.12283349612042564,8192,0.048258725481985676,1e-05,0.001,35.0,COMPLETE
87,87,0.7335021152824311,2021-04-18 00:35:05.458878,2021-04-18 00:38:42.939115,0 days 00:03:37.480237,0.11572645066480253,1024,0.03859242633874838,1e-05,0.01,45.0,COMPLETE
88,88,0.4991265068467856,2021-04-18 00:38:42.940267,2021-04-18 00:39:05.725851,0 days 00:00:22.785584,0.12267877722139706,8192,0.04584073475668399,1e-05,0.01,30.0,COMPLETE
89,89,0.759254570817198,2021-04-18 00:39:05.727187,2021-04-18 00:42:32.042499,0 days 00:03:26.315312,0.11745247494730085,8192,0.04182976294160441,1e-05,0.01,40.0,COMPLETE
90,90,0.7244307005756274,2021-04-18 00:42:32.043832,2021-04-18 00:43:16.171871,0 days 00:00:44.128039,0.11766542713705827,8192,0.03754578343114544,1e-05,0.05,40.0,COMPLETE
91,91,0.7590346804447545,2021-04-18 00:43:16.172844,2021-04-18 00:46:18.285173,0 days 00:03:02.112329,0.11514326572576085,8192,0.03502835397811707,1e-05,0.01,45.0,COMPLETE
92,92,0.7584836972722172,2021-04-18 00:46:18.286131,2021-04-18 00:49:17.264475,0 days 00:02:58.978344,0.11408412144277597,8192,0.042311993692890994,1e-05,0.01,45.0,COMPLETE
93,93,0.7550253221495971,2021-04-18 00:49:17.265462,2021-04-18 00:51:36.783795,0 days 00:02:19.518333,0.12638019948484167,8192,0.035732791486451976,1e-05,0.01,50.0,COMPLETE
94,94,0.49901947728161405,2021-04-18 00:51:36.784792,2021-04-18 00:51:59.475342,0 days 00:00:22.690550,0.11797001132304256,8192,0.04147041412443566,1e-05,0.01,35.0,COMPLETE
95,95,0.4991344245201254,2021-04-18 00:51:59.476398,2021-04-18 00:52:22.052404,0 days 00:00:22.576006,0.12165739920540088,8192,0.055341449700102435,0.01,0.01,55.0,COMPLETE
96,96,0.7597425086506925,2021-04-18 00:52:22.053319,2021-04-18 00:55:44.227486,0 days 00:03:22.174167,0.11227657529233555,8192,0.035018125129463895,1e-05,0.01,40.0,COMPLETE
97,97,0.6056038674889167,2021-04-18 00:55:44.229534,2021-04-18 00:56:29.475474,0 days 00:00:45.245940,0.11334965497070473,8192,0.028835071050993567,0.0001,0.01,45.0,COMPLETE
98,98,0.4985623694173431,2021-04-18 00:56:29.476468,2021-04-18 00:56:52.714169,0 days 00:00:23.237701,0.12421816194217963,8192,0.04569090367436045,1e-05,0.005,40.0,COMPLETE
99,99,0.7597085310923264,2021-04-18 00:56:52.715485,2021-04-18 01:00:15.869518,0 days 00:03:23.154033,0.11614715319262309,8192,0.03472884407936415,1e-05,0.01,40.0,COMPLETE
