,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
31,31,0.7561277998497482,2021-04-17 23:20:05.988807,2021-04-17 23:21:53.598409,0 days 00:01:47.609602,0.1123050788664841,8192,0.039453381717128484,1e-05,0.01,85.0,COMPLETE
32,32,0.7568469688603777,2021-04-17 23:21:53.599637,2021-04-17 23:23:40.574196,0 days 00:01:46.974559,0.10938327830541673,8192,0.03381434393977547,1e-05,0.01,90.0,COMPLETE
33,33,0.49854190239836654,2021-04-17 23:23:40.575407,2021-04-17 23:24:02.591840,0 days 00:00:22.016433,0.1103020022947725,8192,0.03765652506491886,1e-05,0.01,65.0,COMPLETE
34,34,0.5010134404004406,2021-04-17 23:24:02.592872,2021-04-17 23:24:32.300176,0 days 00:00:29.707304,0.10877311931669864,16384,0.0373397800865809,1.0,0.01,90.0,COMPLETE
35,35,0.7567099397973851,2021-04-17 23:24:32.301391,2021-04-17 23:26:35.878517,0 days 00:02:03.577126,0.12700209795953168,8192,0.05138097004719381,1e-05,0.01,75.0,COMPLETE
36,36,0.5000882670631166,2021-04-17 23:26:35.879490,2021-04-17 23:27:10.472642,0 days 00:00:34.593152,0.12709699895925125,8192,0.04720815048981448,0.001,0.001,75.0,COMPLETE
37,37,0.4982525382230615,2021-04-17 23:27:10.474314,2021-04-17 23:27:35.350805,0 days 00:00:24.876491,0.13435761580223962,8192,0.0275014993902766,0.01,0.01,95.0,COMPLETE
38,38,0.7446399350772317,2021-04-17 23:27:35.352036,2021-04-17 23:31:08.139210,0 days 00:03:32.787174,0.12139118170276955,1024,0.053618245162120846,1e-05,0.01,60.0,COMPLETE
39,39,0.4993606844031709,2021-04-17 23:31:08.140452,2021-04-17 23:31:30.395247,0 days 00:00:22.254795,0.10862345625582903,8192,0.03820629839214444,0.1,0.05,75.0,COMPLETE
40,40,0.4984973222321111,2021-04-17 23:31:30.396362,2021-04-17 23:31:52.902927,0 days 00:00:22.506565,0.13999678605737373,16384,0.042893117133417175,1e-05,0.01,80.0,COMPLETE
41,41,0.7561072956646132,2021-04-17 23:31:52.904227,2021-04-17 23:33:40.146212,0 days 00:01:47.241985,0.11352445883397382,8192,0.030183011974295765,1e-05,0.01,85.0,COMPLETE
42,42,0.7568901995106042,2021-04-17 23:33:40.147480,2021-04-17 23:35:26.855056,0 days 00:01:46.707576,0.1069439220232718,8192,0.02237654353965028,1e-05,0.01,90.0,COMPLETE
43,43,0.7569018965977802,2021-04-17 23:35:26.856184,2021-04-17 23:37:14.099170,0 days 00:01:47.242986,0.10627398286991238,8192,0.012441685302259075,1e-05,0.01,90.0,COMPLETE
44,44,0.5028285561200688,2021-04-17 23:37:14.100115,2021-04-17 23:37:40.507882,0 days 00:00:26.407767,0.10456745834134866,8192,0.011495480491170156,0.01,0.01,100.0,COMPLETE
45,45,0.6818330015617169,2021-04-17 23:37:40.509079,2021-04-17 23:39:03.499083,0 days 00:01:22.990004,0.10654093973541523,1024,0.010089092554532487,1e-05,0.05,90.0,COMPLETE
46,46,0.4968058519136614,2021-04-17 23:39:03.500032,2021-04-17 23:39:25.578081,0 days 00:00:22.078049,0.10042300876101819,8192,0.021883301270162928,1e-05,0.005,95.0,COMPLETE
47,47,0.7087544199277211,2021-04-17 23:39:25.579184,2021-04-17 23:39:58.745129,0 days 00:00:33.165945,0.1189583532344671,8192,0.014535674427913682,1e-05,0.1,70.0,COMPLETE
48,48,0.49888303262442313,2021-04-17 23:39:58.746426,2021-04-17 23:40:20.816401,0 days 00:00:22.069975,0.18612512443257162,8192,0.026123505167143457,1e-05,0.01,80.0,COMPLETE
49,49,0.5960427373809717,2021-04-17 23:40:20.817592,2021-04-17 23:41:02.571572,0 days 00:00:41.753980,0.12754610918115722,8192,0.020507983440450933,0.0001,0.01,90.0,COMPLETE
50,50,0.4976956084651734,2021-04-17 23:41:02.572827,2021-04-17 23:41:27.276780,0 days 00:00:24.703953,0.1059644297954653,16384,0.016463504092556112,0.001,0.01,95.0,COMPLETE
51,51,0.7566486668996224,2021-04-17 23:41:27.278121,2021-04-17 23:43:14.066043,0 days 00:01:46.787922,0.1204872906100458,8192,0.03143499038975449,1e-05,0.01,90.0,COMPLETE
52,52,0.5010910523104094,2021-04-17 23:43:14.067255,2021-04-17 23:43:36.432892,0 days 00:00:22.365637,0.1195192567210544,8192,0.03173706341070951,1e-05,0.01,100.0,COMPLETE
53,53,0.7568156044674276,2021-04-17 23:43:36.434326,2021-04-17 23:45:23.400787,0 days 00:01:46.966461,0.11115009740005988,8192,0.05144864678629224,1e-05,0.01,90.0,COMPLETE
