,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_lambda,params_learning_rate,params_rank,state
35,35,0.4997795265033465,2021-04-17 23:14:27.517401,2021-04-17 23:14:50.542735,0 days 00:00:23.025334,0.8907635858998102,4096,0.01,0.01,75.0,COMPLETE
36,36,0.7342714534805908,2021-04-17 23:14:50.543939,2021-04-17 23:16:22.104851,0 days 00:01:31.560912,0.6900511338323213,16384,1e-05,0.005,90.0,COMPLETE
37,37,0.7037187707124438,2021-04-17 23:16:22.105808,2021-04-17 23:17:02.816231,0 days 00:00:40.710423,0.5448360857177947,4096,1e-05,0.05,100.0,COMPLETE
38,38,0.4992728646155472,2021-04-17 23:17:02.817664,2021-04-17 23:18:26.140286,0 days 00:01:23.322622,0.4687450112274673,1024,0.1,0.001,85.0,COMPLETE
39,39,0.5000335930808649,2021-04-17 23:18:26.141661,2021-04-17 23:18:50.425921,0 days 00:00:24.284260,0.8310311544785272,8192,0.01,0.01,75.0,COMPLETE
40,40,0.6942602051042905,2021-04-17 23:18:50.427197,2021-04-17 23:19:31.936896,0 days 00:00:41.509699,0.7360438383075218,4096,1e-05,0.05,95.0,COMPLETE
41,41,0.747205321474147,2021-04-17 23:19:31.938168,2021-04-17 23:21:35.177039,0 days 00:02:03.238871,0.5780718604003807,4096,1e-05,0.01,90.0,COMPLETE
42,42,0.49845216534960396,2021-04-17 23:21:35.178283,2021-04-17 23:21:57.367701,0 days 00:00:22.189418,0.5758979293329752,4096,1e-05,0.01,80.0,COMPLETE
43,43,0.7408215044643579,2021-04-17 23:21:57.368538,2021-04-17 23:24:00.828773,0 days 00:02:03.460235,0.6340760835275566,4096,1e-05,0.01,85.0,COMPLETE
44,44,0.4971278095283285,2021-04-17 23:24:00.829664,2021-04-17 23:24:23.332692,0 days 00:00:22.503028,0.4720789336638265,4096,1e-05,0.01,95.0,COMPLETE
45,45,0.7376195502031548,2021-04-17 23:24:23.333789,2021-04-17 23:26:26.707466,0 days 00:02:03.373677,0.6666275279183764,2048,1e-05,0.01,90.0,COMPLETE
46,46,0.5017674238487969,2021-04-17 23:26:26.708710,2021-04-17 23:26:49.258835,0 days 00:00:22.550125,0.5555637977433481,4096,0.0001,0.01,70.0,COMPLETE
47,47,0.5011901706101994,2021-04-17 23:26:49.259928,2021-04-17 23:27:11.432462,0 days 00:00:22.172534,0.7164595860583767,4096,1e-05,0.005,100.0,COMPLETE
48,48,0.5011049780855001,2021-04-17 23:27:11.433538,2021-04-17 23:28:24.561171,0 days 00:01:13.127633,0.5283872414325291,16384,0.001,0.001,80.0,COMPLETE
49,49,0.7425124800884229,2021-04-17 23:28:24.562404,2021-04-17 23:32:06.176388,0 days 00:03:41.613984,0.49604456403814584,1024,1e-05,0.01,85.0,COMPLETE
50,50,0.49968700327429244,2021-04-17 23:32:06.177469,2021-04-17 23:32:30.677871,0 days 00:00:24.500402,0.39524420021478424,4096,1.0,0.01,65.0,COMPLETE
51,51,0.7423601654815771,2021-04-17 23:32:30.678821,2021-04-17 23:36:12.128239,0 days 00:03:41.449418,0.5018829139685129,1024,1e-05,0.01,85.0,COMPLETE
52,52,0.7235478082291021,2021-04-17 23:36:12.129151,2021-04-17 23:38:33.274757,0 days 00:02:21.145606,0.5819452992555194,1024,1e-05,0.01,90.0,COMPLETE
53,53,0.49713215925045795,2021-04-17 23:38:33.276329,2021-04-17 23:38:55.865569,0 days 00:00:22.589240,0.4455061875846268,1024,1e-05,0.01,95.0,COMPLETE
54,54,0.7357850927020367,2021-04-17 23:38:55.866765,2021-04-17 23:41:54.303249,0 days 00:02:58.436484,0.32216666750737144,1024,1e-05,0.01,75.0,COMPLETE
55,55,0.7075413511191463,2021-04-17 23:41:54.304273,2021-04-17 23:43:08.499524,0 days 00:01:14.195251,0.5211479642790333,2048,1e-05,0.05,45.0,COMPLETE
56,56,0.5012222693551767,2021-04-17 23:43:08.500433,2021-04-17 23:43:30.785777,0 days 00:00:22.285344,0.6147289404522827,4096,1e-05,0.01,100.0,COMPLETE
57,57,0.6179513239897987,2021-04-17 23:43:30.786844,2021-04-17 23:44:30.482822,0 days 00:00:59.695978,0.47431129412871514,1024,0.0001,0.01,90.0,COMPLETE
58,58,0.5013042604638833,2021-04-17 23:44:30.483736,2021-04-17 23:44:59.911366,0 days 00:00:29.427630,0.37275179762269706,16384,0.01,0.01,85.0,COMPLETE
59,59,0.49997236375721915,2021-04-17 23:44:59.912961,2021-04-17 23:45:21.900160,0 days 00:00:21.987199,0.6942777095910865,4096,1e-05,0.01,5.0,COMPLETE
60,60,0.4967784296966895,2021-04-17 23:45:21.901023,2021-04-17 23:45:44.172364,0 days 00:00:22.271341,0.6490781255391338,8192,1e-05,0.001,95.0,COMPLETE
61,61,0.4989499176121105,2021-04-17 23:45:44.173332,2021-04-17 23:46:06.416633,0 days 00:00:22.243301,0.48776664942190784,1024,1e-05,0.01,80.0,COMPLETE
62,62,0.744232004448538,2021-04-17 23:46:06.417547,2021-04-17 23:49:46.413670,0 days 00:03:39.996123,0.42000763212193765,1024,1e-05,0.01,85.0,COMPLETE
63,63,0.7398974191983622,2021-04-17 23:49:46.414650,2021-04-17 23:52:39.988046,0 days 00:02:53.573396,0.4333992166882612,1024,1e-05,0.01,90.0,COMPLETE
64,64,0.4973854248331824,2021-04-17 23:52:39.989019,2021-04-17 23:53:02.738631,0 days 00:00:22.749612,0.5936723856678633,1024,0.1,0.01,95.0,COMPLETE
65,65,0.7444356826863506,2021-04-17 23:53:02.739563,2021-04-17 23:56:43.506526,0 days 00:03:40.766963,0.4095378690299558,1024,1e-05,0.01,85.0,COMPLETE
66,66,0.5001057479735012,2021-04-17 23:56:43.507440,2021-04-17 23:57:06.010806,0 days 00:00:22.503366,0.30602082939430947,4096,1e-05,0.005,75.0,COMPLETE
67,67,0.49848212768126665,2021-04-17 23:57:06.011677,2021-04-17 23:57:28.343894,0 days 00:00:22.332217,0.25905193929746884,16384,1e-05,0.01,80.0,COMPLETE
68,68,0.501965170880359,2021-04-17 23:57:28.344897,2021-04-17 23:57:55.471629,0 days 00:00:27.126732,0.4094889662713227,4096,0.001,0.01,25.0,COMPLETE
69,69,0.5012143965375453,2021-04-17 23:57:55.472871,2021-04-17 23:58:17.402220,0 days 00:00:21.929349,0.3657457793254865,4096,1e-05,0.01,100.0,COMPLETE
70,70,0.5015533032020537,2021-04-17 23:58:17.403074,2021-04-17 23:58:39.317245,0 days 00:00:21.914171,0.7661003385978175,2048,1.0,0.01,70.0,COMPLETE
71,71,0.7414444784857976,2021-04-17 23:58:39.318130,2021-04-18 00:02:16.014032,0 days 00:03:36.695902,0.5347675610080543,1024,1e-05,0.01,85.0,COMPLETE
72,72,0.7394612064046857,2021-04-18 00:02:16.015393,2021-04-18 00:05:10.398279,0 days 00:02:54.382886,0.4571087939416637,1024,1e-05,0.01,90.0,COMPLETE
73,73,0.7314176077120896,2021-04-18 00:05:10.399554,2021-04-18 00:08:04.707746,0 days 00:02:54.308192,0.5680740487036725,1024,1e-05,0.01,85.0,COMPLETE
74,74,0.4989606945164671,2021-04-18 00:08:04.708985,2021-04-18 00:08:26.824475,0 days 00:00:22.115490,0.33522317308300925,1024,1e-05,0.01,80.0,COMPLETE
75,75,0.6365753731333643,2021-04-18 00:08:26.825711,2021-04-18 00:09:34.119860,0 days 00:01:07.294149,0.41865990166889494,1024,1e-05,0.1,90.0,COMPLETE
76,76,0.7300530944974134,2021-04-18 00:09:34.120798,2021-04-18 00:10:31.450139,0 days 00:00:57.329341,0.6306875057113156,16384,1e-05,0.01,95.0,COMPLETE
