,number,value,datetime_start,datetime_complete,duration,params_batch_size,params_clip,params_lambda,params_learning_rate,params_rank,state
35,35,0.5031647137704441,2021-03-13 20:25:07.606473,2021-03-13 20:25:30.406243,0 days 00:00:22.799770,2048,0.00398446738654169,0.01,0.005,55.0,COMPLETE
36,36,0.5067657595225901,2021-03-13 20:25:30.407603,2021-03-13 20:25:49.244212,0 days 00:00:18.836609,512,0.009300866887073553,1.0,0.05,70.0,COMPLETE
37,37,0.6375892338958727,2021-03-13 20:25:49.245670,2021-03-13 20:26:09.766696,0 days 00:00:20.521026,256,0.02084869094744108,1e-05,0.01,25.0,COMPLETE
38,38,0.5770616765273697,2021-03-13 20:26:09.767998,2021-03-13 20:26:33.418247,0 days 00:00:23.650249,128,0.04087836034137977,0.0001,0.005,110.0,COMPLETE
39,39,0.4991149532978768,2021-03-13 20:26:33.419127,2021-03-13 20:26:57.736112,0 days 00:00:24.316985,1024,0.0010832057730148612,0.1,0.001,85.0,COMPLETE
40,40,0.5041032002820404,2021-03-13 20:26:57.737454,2021-03-13 20:27:21.019945,0 days 00:00:23.282491,512,0.008941625391548544,0.01,0.1,90.0,COMPLETE
41,41,0.8073873489123891,2021-03-13 20:27:21.021012,2021-03-13 20:27:37.953352,0 days 00:00:16.932340,2048,0.005973671501258705,0.0001,0.01,75.0,COMPLETE
42,42,0.8079195888067465,2021-03-13 20:27:37.954685,2021-03-13 20:27:54.569087,0 days 00:00:16.614402,2048,0.0033356793410428288,0.0001,0.01,60.0,COMPLETE
43,43,0.8059747029593469,2021-03-13 20:27:54.570552,2021-03-13 20:28:11.132171,0 days 00:00:16.561619,2048,0.005164019000894501,0.0001,0.01,45.0,COMPLETE
44,44,0.8064812174641041,2021-03-13 20:28:11.133509,2021-03-13 20:28:28.146357,0 days 00:00:17.012848,2048,0.0019358202859391623,0.0001,0.01,105.0,COMPLETE
45,45,0.7862948337419834,2021-03-13 20:28:28.147638,2021-03-13 20:28:45.071800,0 days 00:00:16.924162,2048,0.007064545788901089,1e-05,0.01,120.0,COMPLETE
46,46,0.8025785388595922,2021-03-13 20:28:45.072694,2021-03-13 20:29:01.521372,0 days 00:00:16.448678,2048,0.01399916634587038,0.0001,0.01,35.0,COMPLETE
47,47,0.6981163965341414,2021-03-13 20:29:01.522730,2021-03-13 20:29:18.308864,0 days 00:00:16.786134,2048,0.002768718973969313,0.0001,0.05,85.0,COMPLETE
